Reactant,TS,Product,eR,eTS,eP,GR,GTS,GP,deTSR,deTSP,dePR,dGTSR,dGTSP,dGPR
950_MA-TS_38-39_Reactant,950_MA-TS_38-39,950_MA-TS_38-39_Product,-0.458841642308,-0.464247281913,-0.473629983827,0.131353,0.127918,0.116066,-3.39,5.89,-9.28,-2.16,7.44,-9.59
957_MA-TS_38-39_Reactant,957_MA-TS_38-39,957_MA-TS_38-39_Product,-0.367320879778,-0.364587053443,-0.367944613333,0.23539,0.243597,0.240933,1.72,2.11,-0.39,5.15,1.67,3.48
961_MA-TS_37-38_Reactant,961_MA-TS_37-38,961_MA-TS_37-38_Product,-0.423241086485,-0.428330973622,-0.435466154301,0.138763,0.137621,0.128817,-3.19,4.48,-7.67,-0.72,5.52,-6.24
963_MA-TS_34-35_Reactant,963_MA-TS_34-35,963_MA-TS_34-35_Product,-0.401060509291,-0.384860723432,-0.412551008085,0.126123,0.143864,0.119738,10.17,17.38,-7.21,11.13,15.14,-4.01
967_MA-TS_45-46_Reactant,967_MA-TS_45-46,967_MA-TS_45-46_Product,-0.328939922335,-0.334468937031,-0.349669664037,0.393725,0.392365,0.380034,-3.47,9.54,-13.01,-0.85,7.74,-8.59
969_MA-TS_37-38_Reactant,969_MA-TS_37-38,969_MA-TS_37-38_Product,-0.320583754909,-0.32553487425,-0.327691872136,0.246508,0.251792,0.250498,-3.11,1.35,-4.46,3.32,0.81,2.5
972_MA-TS_41-42_Reactant,972_MA-TS_41-42,972_MA-TS_41-42_Product,-0.25189933296,-0.253904259856,-0.277188532429,0.443998,0.450944,0.42563,-1.26,14.61,-15.87,4.36,15.88,-11.53
973_MA-TS_37-38_Reactant,973_MA-TS_37-38,973_MA-TS_37-38_Product,-0.344618986205,-0.330831402026,-0.36871787703,0.214814,0.231519,0.194898,8.65,23.77,-15.12,10.48,22.98,-12.5
974_MA-TS_39-40_Reactant,974_MA-TS_39-40,974_MA-TS_39-40_Product,-0.389830752742,-0.362879890974,-0.386824699629,0.237814,0.260528,0.240606,16.91,15.03,1.89,14.25,12.5,1.75
976_MA-TS_36-37_Reactant,976_MA-TS_36-37,976_MA-TS_36-37_Product,-0.406872648792,-0.410992180281,-0.421822660385,0.133296,0.123596,0.117491,-2.59,6.8,-9.38,-6.09,3.83,-9.92
977_MA-TS_41-42_Reactant,977_MA-TS_41-42,977_MA-TS_41-42_Product,-0.499235524099,-0.501407808635,-0.519421821478,0.114542,0.117669,0.097513,-1.36,11.3,-12.67,1.96,12.65,-10.69
979_MA-TS_43-44_Reactant,979_MA-TS_43-44,979_MA-TS_43-44_Product,-0.359922442036,-0.363640110797,-0.373845321074,0.339659,0.322671,0.313647,-2.33,6.4,-8.74,-10.66,5.66,-16.32
980_MA-TS_46-47_Reactant,980_MA-TS_46-47,980_MA-TS_46-47_Product,-0.340771403137,-0.337440331302,-0.364073979427,0.411406,0.416349,0.389947,2.09,16.71,-14.62,3.1,16.57,-13.47
982_MA-TS_42-43_Reactant,982_MA-TS_42-43,982_MA-TS_42-43_Product,-0.32239966221,-0.311712686148,-0.317779071518,0.311659,0.325345,0.319924,6.71,3.81,2.9,8.59,3.4,5.19
983_MA-TS_37-38_Reactant,983_MA-TS_37-38,983_MA-TS_37-38_Product,-0.135817306343,-0.117540420213,-0.156278961026,0.395471,0.41895,0.381306,11.47,24.31,-12.84,14.73,23.62,-8.89
986_MA-TS_34-35_Reactant,986_MA-TS_34-35,986_MA-TS_34-35_Product,-0.17233859724,-0.171644059682,-0.176584625803,0.335774,0.337368,0.333863,0.44,3.1,-2.66,1.0,2.2,-1.2
988_MA-TS_33-34_Reactant,988_MA-TS_33-34,988_MA-TS_33-34_Product,-0.137881513648,-0.131415850888,-0.148808260752,0.367309,0.373283,0.360671,4.06,10.91,-6.86,3.75,7.91,-4.17
990_MA-TS_32-33_Reactant,990_MA-TS_32-33,990_MA-TS_32-33_Product,-0.218148287215,-0.207335283262,-0.238536256674,0.256674,0.273468,0.240294,6.79,19.58,-12.79,10.54,20.82,-10.28
992_MA-TS_34-35_Reactant,992_MA-TS_34-35,992_MA-TS_34-35_Product,-0.123800796286,-0.128232098696,-0.149060337148,0.363776,0.362116,0.343406,-2.78,13.07,-15.85,-1.04,11.74,-12.78
993_MA-TS_32-33_Reactant,993_MA-TS_32-33,993_MA-TS_32-33_Product,-0.138832526811,-0.136176010432,-0.136520465683,0.312746,0.319378,0.318914,1.67,0.22,1.45,4.16,0.29,3.87
996_MA-TS_37-38_Reactant,996_MA-TS_37-38,996_MA-TS_37-38_Product,-0.281753407248,-0.286778163963,-0.292341028155,0.260646,0.254932,0.25219,-3.15,3.49,-6.64,-3.59,1.72,-5.31
997_MA-TS_33-34_Reactant,997_MA-TS_33-34,997_MA-TS_33-34_Product,-0.163848939466,-0.164325347234,-0.17988768327,0.330655,0.332243,0.318789,-0.3,9.77,-10.06,1.0,8.44,-7.45
999_MA-TS_33-34_Reactant,999_MA-TS_33-34,999_MA-TS_33-34_Product,-0.158858630871,-0.15635619432,-0.167802066547,0.325565,0.330842,0.319216,1.57,7.18,-5.61,3.31,7.3,-3.98
1000_MA-TS_35-36_Reactant,1000_MA-TS_35-36,1000_MA-TS_35-36_Product,-0.154703438137,-0.14409184022,-0.16933448278,0.375964,0.387596,0.365377,6.66,15.84,-9.18,7.3,13.94,-6.64
1001_MA-TS_38-39_Reactant,1001_MA-TS_38-39,1001_MA-TS_38-39_Product,-0.109273131204,-0.113832453203,-0.12160196185,0.434437,0.43218,0.430953,-2.86,4.88,-7.74,-1.42,0.77,-2.19
1002_MA-TS_32-33_Reactant,1002_MA-TS_32-33,1002_MA-TS_32-33_Product,-0.168123621806,-0.163045722424,-0.182262832901,0.306424,0.310073,0.296738,3.19,12.06,-8.87,2.29,8.37,-6.08
1013_MA-TS_22-23_Reactant,1013_MA-TS_22-23,1013_MA-TS_22-23_Product,-0.184308246646,-0.177119568826,-0.184648016915,0.16289,0.173946,0.163506,4.51,4.72,-0.21,6.94,6.55,0.39
1015_MA-TS_38-39_Reactant,1015_MA-TS_38-39,1015_MA-TS_38-39_Product,-0.26768297589,-0.271387305781,-0.27806641447,0.281708,0.279105,0.273963,-2.32,4.19,-6.52,-1.63,3.23,-4.86
1016_MA-TS_40-41_Reactant,1016_MA-TS_40-41,1016_MA-TS_40-41_Product,-0.135316542325,-0.127940146761,-0.130932485762,0.405314,0.414593,0.415902,4.63,1.88,2.75,5.82,-0.82,6.64
1019_MA-TS_40-41_Reactant,1019_MA-TS_40-41,1019_MA-TS_40-41_Product,-0.112472648808,-0.112478951543,-0.129475531567,0.425921,0.430927,0.417448,-0.0,10.67,-10.67,3.14,8.46,-5.32
1023_MA-TS_33-34_Reactant,1023_MA-TS_33-34,1023_MA-TS_33-34_Product,-0.541034338696,-0.538789290441,-0.543516778032,-0.055099,-0.046655,-0.05177,1.41,2.97,-1.56,5.3,3.21,2.09
1026_MA-TS_3-4_Reactant,1026_MA-TS_3-4,1026_MA-TS_3-4_Product,-0.483861980845,-0.477987342345,-0.484246627077,0.20514,0.212046,0.210293,3.69,3.93,-0.24,4.33,1.1,3.23
1027_MA-TS_32-33_Reactant,1027_MA-TS_32-33,1027_MA-TS_32-33_Product,-0.469783070649,-0.462474486111,-0.475522258611,0.003923,0.011796,-0.000918,4.59,8.19,-3.6,4.94,7.98,-3.04
1038_MA-TS_6-7_Reactant,1038_MA-TS_6-7,1038_MA-TS_6-7_Product,-0.483495410539,-0.496404665841,-0.500259093067,-0.242504,-0.253726,-0.257882,-8.1,2.42,-10.52,-7.04,2.61,-9.65
1039_MA-TS_23-24_Reactant,1039_MA-TS_23-24,1039_MA-TS_23-24_Product,-0.569076029441,-0.567465484059,-0.605717490487,-0.136307,-0.130739,-0.167467,1.01,24.0,-22.99,3.49,23.05,-19.55
1040_MA-TS_24-25_Reactant,1040_MA-TS_24-25,1040_MA-TS_24-25_Product,-0.586041436082,-0.583161357345,-0.594009828698,-0.158414,-0.159822,-0.167653,1.81,6.81,-5.0,-0.88,4.91,-5.8
1041_MA-TS_17-18_Reactant,1041_MA-TS_17-18,1041_MA-TS_17-18_Product,-0.395879698968,-0.399630946835,-0.421966556906,-0.049185,-0.055689,-0.074401,-2.35,14.02,-16.37,-4.08,11.74,-15.82
1046_MA-TS_31-32_Reactant,1046_MA-TS_31-32,1046_MA-TS_31-32_Product,-0.323637996953,-0.312078773515,-0.331627956829,0.17236,0.186594,0.17041,7.25,12.27,-5.01,8.93,10.16,-1.22
1048_MA-TS_52-53_Reactant,1048_MA-TS_52-53,1048_MA-TS_52-53_Product,-0.486080964307,-0.491690631989,-0.509272540121,0.370822,0.366941,0.349497,-3.52,11.03,-14.55,-2.44,10.95,-13.38
1050_MA-TS_48-49_Reactant,1050_MA-TS_48-49,1050_MA-TS_48-49_Product,-0.655268351039,-0.656477843314,-0.678346537718,0.021862,0.026269,0.006986,-0.76,13.72,-14.48,2.77,12.1,-9.33
1052_MA-TS_45-46_Reactant,1052_MA-TS_45-46,1052_MA-TS_45-46_Product,-0.383688713402,-0.380487532591,-0.41653855311,0.345555,0.352138,0.320561,2.01,22.62,-20.61,4.13,19.81,-15.68
1053_MA-TS_50-51_Reactant,1053_MA-TS_50-51,1053_MA-TS_50-51_Product,-0.44641511423,-0.450380716596,-0.476928115774,0.36808,0.365571,0.340805,-2.49,16.66,-19.15,-1.57,15.54,-17.12
1054_MA-TS_48-49_Reactant,1054_MA-TS_48-49,1054_MA-TS_48-49_Product,-0.635849394944,-0.643510283302,-0.649018827371,0.035076,0.035859,0.029442,-4.81,3.46,-8.26,0.49,4.03,-3.54
1056_MA-TS_41-42_Reactant,1056_MA-TS_41-42,1056_MA-TS_41-42_Product,-0.317442245532,-0.314475764102,-0.337515882494,0.365681,0.370272,0.351744,1.86,14.46,-12.6,2.88,11.63,-8.75
