Datapoint,SASA,SASV,FracBuriedVol,SterimolB1,SterimolB5,SterimolL,Pint
188_MA-TS_5-6,808.4160735296631,1427.4801732009937,0.41952804696235557,2.6216870807336523,11.344412408031861,15.358625059848857,21.979154344377466
190_MA-TS_5-6,791.3440534960963,1371.9569938808668,0.5658486302646292,3.263653859161984,11.557143348532035,14.437116389991372,21.747785379588734
191_MA-TS_5-6,780.5731791345811,1380.0226543392616,0.4195979314200522,4.242643900460857,9.286419256484525,16.71590041496675,21.65688740346507
193_MA-TS_5-6,706.7965215093302,1259.8263690232184,0.5011647409616101,2.1197338059409634,12.647557308560799,6.821193368815299,21.940737825629554
194_MA-TS_5-6,750.1371361577598,1325.7507601243165,0.4657100260901975,2.7619625141837023,7.745261158039721,14.780447944077363,22.240997303266667
196_MA-TS_5-6,840.2475984807696,1446.223143688411,0.402691716362281,2.101738329276106,13.703354079564157,9.18702768652647,21.71784074324985
199_MA-TS_5-6,762.5155075210959,1339.6479031216136,0.3957032705926202,2.305082107689814,12.409610190577391,11.699361236078673,21.839226412104615
203_MA-TS_5-6,744.4761398298771,1292.810446137297,0.39422987327618336,2.3426869455566326,16.54486917611086,10.644299005185912,21.67557363306718
209_MA-TS_5-7,562.790202136836,940.2917557993076,0.3894602590383899,2.914436433856129,11.879117066461065,7.966540515416847,20.49991316788517
210_MA-TS_5-7,521.158554586729,887.5096640398865,0.5077513510995154,2.186258094961164,8.199835454871035,7.1077606193919225,20.138130530785865
211_MA-TS_5-7,561.7561508016335,961.1666169652066,0.421531401416325,2.674492882684442,9.816765999579097,7.908892200748912,20.041464014902708
212_MA-TS_5-7,546.0097286754054,927.0527006321041,0.40290136973537083,3.3306173845836353,9.69821798272027,7.925191776954854,21.081052368186988
213_MA-TS_5-7,504.140207206144,884.4684711982286,0.5700184029071934,2.3565496386015,8.063088873238456,6.275026425492604,21.3398570378839
214_MA-TS_5-7,626.9861647531601,1119.1924952658608,0.4249149739098025,3.435993197660035,9.626662196142842,8.747140789636163,21.512130779516113
216_MA-TS_5-7,614.3659071024975,1032.8854284037604,0.38912830786433095,2.9045825057603265,13.31530784627872,7.961272548090344,20.475162702614192
220_MA-TS_5-6,761.9861724546413,1386.5394042500532,0.44815737979873277,3.4953994627813727,14.265431932156234,9.130117975687401,21.490793407778128
221_MA-TS_5-6,695.5840984407816,1358.6060623334229,0.5731049664554603,2.8449825371246336,8.959414945572917,7.022379022701871,23.321156850023844
222_MA-TS_5-6,773.2658993417488,1465.7857321149559,0.5895627562430116,3.530779646632346,11.824330134164208,6.853496995833601,23.11109532089926
224_MA-TS_5-7,715.3975764196523,1374.3698257051226,0.8805791092061126,5.004029536965589,7.4080061376568995,7.0890201022126655,23.800618785479305
225_MA-TS_5-6,773.4466952386152,1458.9834797120193,0.45276975400670894,3.4275430308363903,11.967910462493169,9.12448262677537,22.714999826521804
226_MA-TS_5-6,787.4263673798052,1413.5554957721854,0.40042047148714127,3.9961298141864194,11.148943517987437,10.21468708707687,21.57647089999743
229_MA-TS_5-7,837.8469391189071,1486.9406649366558,0.4607191110696981,2.774492437596109,17.92244432486741,7.395450066531291,21.56429716209212
232_MA-TS_5-6,742.58604182008,1444.805491036712,0.6110464032799106,2.025446545311781,12.864408024909096,7.551651096383716,23.565360208956083
233_MA-TS_5-6,780.0351700497073,1447.8263313591528,0.39528396384644054,4.235478054317919,13.302698302931805,10.223394985148294,22.376472369491395
234_MA-TS_5-6,633.8645753355368,1143.3395709408942,0.389017657472978,3.744723941115757,7.377502057412881,10.377739423376383,21.870742756662672
236_MA-TS_5-7,840.5185600473615,1445.6529850889085,0.6155597745061498,2.93022866029785,13.174735057531,6.720051511665689,21.116798868730285
238_MA-TS_5-6,934.1363040312773,1574.5386067916418,0.4001525810659709,2.8806558090897205,14.746173058203661,14.233812705632483,20.52759257397827
239_MA-TS_5-6,905.7362428281409,1551.3439173196584,0.5924163715989564,3.3865365140576222,9.269392166522767,6.57838334305597,20.737296354120318
