Reactant,Datapoint,Product,eR,eTS,eP,GR,GTS,GP,deTSR,deTSP,dePR,dGTSR,dGTSP,dGPR
1933_MA-TS_5-6_Reactant,1933_MA-TS_5-6,1933_MA-TS_5-6_Product,-2590.51311023,-2590.48781341,-2590.50422301,-2589.847453,-2589.827444,-2589.837436,15.87,10.3,5.58,12.56,6.27,6.29
1938_MA-TS_5-6_Reactant,1938_MA-TS_5-6,1938_MA-TS_5-6_Product,-3277.17691704,-3277.15525754,-3277.17504217,-3276.512204,-3276.488124,-3276.501152,13.59,12.42,1.18,15.11,8.18,6.94
1940_MA-TS_5-6_Reactant,1940_MA-TS_5-6,1940_MA-TS_5-6_Product,-3089.2333991,-3089.21718755,-3089.22876466,-3088.553432,-3088.531593,-3088.542744,10.17,7.26,2.91,13.7,7.0,6.71
1941_MA-TS_5-6_Reactant,1941_MA-TS_5-6,1941_MA-TS_5-6_Product,-2968.84436605,-2968.81698875,-2968.82529999,-2968.220796,-2968.194502,-2968.201062,17.18,5.22,11.96,16.5,4.12,12.38
1942_MA-TS_5-6_Reactant,1942_MA-TS_5-6,1942_MA-TS_5-6_Product,-2968.82870733,-2968.8238304,-2968.84307115,-2968.206289,-2968.200343,-2968.215766,3.06,12.07,-9.01,3.73,9.68,-5.95
1943_MA-TS_5-6_Reactant,1943_MA-TS_5-6,1943_MA-TS_5-6_Product,-3127.32332788,-3127.29016457,-3127.3104354,-3126.633158,-3126.603285,-3126.623095,20.81,12.72,8.09,18.75,12.43,6.31
1946_MA-TS_5-6_Reactant,1946_MA-TS_5-6,1946_MA-TS_5-6_Product,-3069.40560883,-3069.38507718,-3069.38870523,-3068.713633,-3068.692458,-3068.696421,12.88,2.28,10.61,13.29,2.49,10.8
1948_MA-TS_5-6_Reactant,1948_MA-TS_5-6,1948_MA-TS_5-6_Product,-3241.52625451,-3241.48614799,-3241.49676048,-3240.827373,-3240.78638,-3240.796307,25.17,6.66,18.51,25.72,6.23,19.49
1949_MA-TS_5-6_Reactant,1949_MA-TS_5-6,1949_MA-TS_5-6_Product,-3089.26234125,-3089.2213796,-3089.2265849,-3088.589597,-3088.548955,-3088.552858,25.7,3.27,22.44,25.5,2.45,23.05
1950_MA-TS_5-6_Reactant,1950_MA-TS_5-6,1950_MA-TS_5-6_Product,-3089.25898932,-3089.25582361,-3089.25761942,-3088.58134,-3088.574591,-3088.576961,1.99,1.13,0.86,4.24,1.49,2.75
1952_MA-TS_5-6_Reactant,1952_MA-TS_5-6,1952_MA-TS_5-6_Product,-2803.90181005,-2803.8761404,-2803.89201312,-2803.362762,-2803.335942,-2803.352156,16.11,9.96,6.15,16.83,10.17,6.66
1959_MA-TS_5-6_Reactant,1959_MA-TS_5-6,1959_MA-TS_5-6_Product,-4531.11068498,-4531.0974661,-4531.10669769,-4530.68806,-4530.671816,-4530.678912,8.29,5.79,2.5,10.19,4.45,5.74
1961_MA-TS_5-6_Reactant,1961_MA-TS_5-6,1961_MA-TS_5-6_Product,-4664.9256781,-4664.89441834,-4664.92066351,-4664.436767,-4664.405643,-4664.427731,19.62,16.47,3.15,19.53,13.86,5.67
1964_MA-TS_5-6_Reactant,1964_MA-TS_5-6,1964_MA-TS_5-6_Product,-4931.7706479,-4931.76852388,-4931.78641111,-4931.211559,-4931.207748,-4931.223726,1.33,11.22,-9.89,2.39,10.03,-7.63
1965_MA-TS_5-6_Reactant,1965_MA-TS_5-6,1965_MA-TS_5-6_Product,-4779.3378362,-4779.27719165,-4779.28560965,-4778.816868,-4778.764275,-4778.769916,38.06,5.28,32.77,33.0,3.54,29.46
1966_MA-TS_5-6_Reactant,1966_MA-TS_5-6,1966_MA-TS_5-6_Product,-4779.29975947,-4779.28887505,-4779.30370666,-4778.784488,-4778.771859,-4778.785488,6.83,9.31,-2.48,7.92,8.55,-0.63
1968_MA-TS_5-6_Reactant,1968_MA-TS_5-6,1968_MA-TS_5-6_Product,-2803.87514531,-2803.85012948,-2803.85952469,-2803.338333,-2803.314392,-2803.324928,15.7,5.9,9.8,15.02,6.61,8.41
1969_MA-TS_5-6_Reactant,1969_MA-TS_5-6,1969_MA-TS_5-6_Product,-2802.69478398,-2802.67159941,-2802.68196043,-2802.170242,-2802.149059,-2802.156978,14.55,6.5,8.05,13.29,4.97,8.32
1971_MA-TS_5-6_Reactant,1971_MA-TS_5-6,1971_MA-TS_5-6_Product,-2670.04708883,-2670.03659083,-2670.04239873,-2669.585788,-2669.572895,-2669.57797,6.59,3.64,2.94,8.09,3.18,4.91
1974_MA-TS_5-6_Reactant,1974_MA-TS_5-6,1974_MA-TS_5-6_Product,-4531.11067443,-4531.09744165,-4531.10669193,-4530.687233,-4530.671951,-4530.679539,8.3,5.8,2.5,9.59,4.76,4.83
1979_MA-TS_5-6_Reactant,1979_MA-TS_5-6,1979_MA-TS_5-6_Product,-4759.88930177,-4759.86524572,-4759.87666883,-4759.410296,-4759.386739,-4759.396866,15.1,7.17,7.93,14.78,6.35,8.43
1981_MA-TS_5-6_Reactant,1981_MA-TS_5-6,1981_MA-TS_5-6_Product,-4645.50753252,-4645.48240365,-4645.49110957,-4645.054632,-4645.027549,-4645.034261,15.77,5.46,10.31,16.99,4.21,12.78
1982_MA-TS_5-6_Reactant,1982_MA-TS_5-6,1982_MA-TS_5-6_Product,-4645.51745317,-4645.47303631,-4645.48119631,-4645.063866,-4645.025148,-4645.031585,27.87,5.12,22.75,24.3,4.04,20.26
1983_MA-TS_5-6_Reactant,1983_MA-TS_5-6,1983_MA-TS_5-6_Product,-2956.36631344,-2956.35778694,-2956.37744359,-2955.784169,-2955.775112,-2955.791689,5.35,12.33,-6.98,5.68,10.4,-4.72
1985_MA-TS_5-6_Reactant,1985_MA-TS_5-6,1985_MA-TS_5-6_Product,-4818.61367499,-4818.57830661,-4818.58320058,-4818.071725,-4818.036801,-4818.038675,22.19,3.07,19.12,21.92,1.18,20.74
1986_MA-TS_5-6_Reactant,1986_MA-TS_5-6,1986_MA-TS_5-6_Product,-4818.61885643,-4818.60524982,-4818.61174889,-4818.071701,-4818.055445,-4818.059399,8.54,4.08,4.46,10.2,2.48,7.72
1989_MA-TS_5-6_Reactant,1989_MA-TS_5-6,1989_MA-TS_5-6_Product,-4822.03820464,-4822.00572413,-4822.00653684,-4821.444921,-4821.408191,-4821.411067,20.38,0.51,19.87,23.05,1.8,21.24
1991_MA-TS_5-6_Reactant,1991_MA-TS_5-6,1991_MA-TS_5-6_Product,-2803.89115733,-2803.87394995,-2803.87396134,-2803.349859,-2803.328894,-2803.33116,10.8,0.01,10.79,13.16,1.42,11.73
1995_MA-TS_5-6_Reactant,1995_MA-TS_5-6,1995_MA-TS_5-6_Product,-3062.05126832,-3062.04954514,-3062.06242928,-3061.564744,-3061.562382,-3061.573799,1.08,8.08,-7.0,1.48,7.16,-5.68
1998_MA-TS_5-6_Reactant,1998_MA-TS_5-6,1998_MA-TS_5-6_Product,-2917.09598853,-2917.06639835,-2917.08608395,-2916.540316,-2916.510435,-2916.527303,18.57,12.35,6.22,18.75,10.58,8.17
2000_MA-TS_5-6_Reactant,2000_MA-TS_5-6,2000_MA-TS_5-6_Product,-2843.15861264,-2843.14401756,-2843.14585621,-2842.592912,-2842.573562,-2842.576502,9.16,1.15,8.0,12.14,1.84,10.3
2001_MA-TS_5-6_Reactant,2001_MA-TS_5-6,2001_MA-TS_5-6_Product,-2764.61575797,-2764.603134,-2764.62024835,-2764.102411,-2764.086328,-2764.104034,7.92,10.74,-2.82,10.09,11.11,-1.02
2002_MA-TS_5-6_Reactant,2002_MA-TS_5-6,2002_MA-TS_5-6_Product,-2764.62151591,-2764.60590967,-2764.61240295,-2764.108369,-2764.091785,-2764.095637,9.79,4.07,5.72,10.41,2.42,7.99
2003_MA-TS_5-6_Reactant,2003_MA-TS_5-6,2003_MA-TS_5-6_Product,-5140.33480559,-5140.30498618,-5140.31820617,-5139.808495,-5139.78148,-5139.791767,18.71,8.3,10.42,16.95,6.46,10.5
2004_MA-TS_5-6_Reactant,2004_MA-TS_5-6,2004_MA-TS_5-6_Product,-5140.36941497,-5140.32987779,-5140.3325224,-5139.840415,-5139.801408,-5139.804753,24.81,1.66,23.15,24.48,2.1,22.38
2007_MA-TS_5-6_Reactant,2007_MA-TS_5-6,2007_MA-TS_5-6_Product,-2802.68448631,-2802.66015708,-2802.67439426,-2802.163958,-2802.13823,-2802.153038,15.27,8.93,6.33,16.14,9.29,6.85
2008_MA-TS_5-6_Reactant,2008_MA-TS_5-6,2008_MA-TS_5-6_Product,-2802.70459686,-2802.68191891,-2802.69598232,-2802.178623,-2802.154921,-2802.166707,14.23,8.82,5.41,14.87,7.4,7.48
2016_MA-TS_5-6_Reactant,2016_MA-TS_5-6,2016_MA-TS_5-6_Product,-4822.03872725,-4822.02086142,-4822.02683952,-4821.445458,-4821.425325,-4821.429235,11.21,3.75,7.46,12.63,2.45,10.18
2018_MA-TS_5-6_Reactant,2018_MA-TS_5-6,2018_MA-TS_5-6_Product,-4645.50060881,-4645.48337737,-4645.4925514,-4645.047566,-4645.026941,-4645.035771,10.81,5.76,5.06,12.94,5.54,7.4
2019_MA-TS_5-6_Reactant,2019_MA-TS_5-6,2019_MA-TS_5-6_Product,-4645.50347019,-4645.46468991,-4645.4688927,-4645.057314,-4645.009549,-4645.014048,24.33,2.64,21.7,29.97,2.82,27.15
2020_MA-TS_5-6_Reactant,2020_MA-TS_5-6,2020_MA-TS_5-6_Product,-4895.95440869,-4895.91602888,-4895.92533529,-4895.367929,-4895.335077,-4895.341125,24.08,5.84,18.24,20.61,3.8,16.82
2022_MA-TS_5-6_Reactant,2022_MA-TS_5-6,2022_MA-TS_5-6_Product,-4720.64383072,-4720.62128775,-4720.62347109,-4720.188319,-4720.163367,-4720.165748,14.15,1.37,12.78,15.66,1.49,14.16
2023_MA-TS_7-8_Reactant,2023_MA-TS_7-8,2023_MA-TS_7-8_Product,-2269.25473963,-2269.24381359,-2269.26373533,-2268.695119,-2268.683279,-2268.696037,6.86,12.5,-5.64,7.43,8.01,-0.58
2027_MA-TS_7-8_Reactant,2027_MA-TS_7-8,2027_MA-TS_7-8_Product,-4840.33373428,-4840.32416647,-4840.32805371,-4839.814316,-4839.799594,-4839.803771,6.0,2.44,3.56,9.24,2.62,6.62
2029_MA-TS_7-8_Reactant,2029_MA-TS_7-8,2029_MA-TS_7-8_Product,-2267.03997667,-2267.01232377,-2267.02716382,-2266.503917,-2266.476983,-2266.49282,17.35,9.31,8.04,16.9,9.94,6.96
2031_MA-TS_7-8_Reactant,2031_MA-TS_7-8,2031_MA-TS_7-8_Product,-2154.8538766,-2154.84838283,-2154.84869436,-2154.314947,-2154.308791,-2154.310363,3.45,0.2,3.25,3.86,0.99,2.88
2032_MA-TS_7-8_Reactant,2032_MA-TS_7-8,2032_MA-TS_7-8_Product,-2194.1438953,-2194.11108318,-2194.12726716,-2193.583605,-2193.551115,-2193.564463,20.59,10.16,10.43,20.39,8.38,12.01
2033_MA-TS_7-8_Reactant,2033_MA-TS_7-8,2033_MA-TS_7-8_Product,-4765.23157976,-4765.20203985,-4765.21555093,-4764.708269,-4764.681561,-4764.695258,18.54,8.48,10.06,16.76,8.59,8.16
2035_MA-TS_7-8_Reactant,2035_MA-TS_7-8,2035_MA-TS_7-8_Product,-2191.90874831,-2191.90606075,-2191.91576106,-2191.37637,-2191.370839,-2191.379809,1.69,6.09,-4.4,3.47,5.63,-2.16
2036_MA-TS_7-8_Reactant,2036_MA-TS_7-8,2036_MA-TS_7-8_Product,-2651.38587871,-2651.36547613,-2651.36775919,-2650.861641,-2650.840623,-2650.842482,12.8,1.43,11.37,13.19,1.17,12.02
2037_MA-TS_7-8_Reactant,2037_MA-TS_7-8,2037_MA-TS_7-8_Product,-3006.85408986,-3006.82676715,-3006.8430954,-3006.183963,-3006.160819,-3006.174001,17.15,10.25,6.9,14.52,8.27,6.25
2038_MA-TS_7-8_Reactant,2038_MA-TS_7-8,2038_MA-TS_7-8_Product,-2645.61109009,-2645.60183336,-2645.60233392,-2644.973017,-2644.957932,-2644.959129,5.81,0.31,5.49,9.47,0.75,8.71
2039_MA-TS_7-8_Reactant,2039_MA-TS_7-8,2039_MA-TS_7-8_Product,-2661.58267322,-2661.5813772,-2661.59350417,-2660.946213,-2660.943887,-2660.957515,0.81,7.61,-6.8,1.46,8.55,-7.09
2046_MA-TS_7-8_Reactant,2046_MA-TS_7-8,2046_MA-TS_7-8_Product,-2878.5144982,-2878.50910854,-2878.54488725,-2877.813284,-2877.806465,-2877.839515,3.38,22.45,-19.07,4.28,20.74,-16.46
2049_MA-TS_11-12_Reactant,2049_MA-TS_11-12,2049_MA-TS_11-12_Product,-4819.84862372,-4819.83074953,-4819.83652693,-4819.269532,-4819.24906,-4819.255708,11.22,3.63,7.59,12.85,4.17,8.67
2053_MA-TS_4-5_Reactant,2053_MA-TS_4-5,2053_MA-TS_4-5_Product,-4568.14163511,-4568.12126308,-4568.13703257,-4567.721058,-4567.700463,-4567.711805,12.78,9.9,2.89,12.92,7.12,5.81
2057_MA-TS_4-5_Reactant,2057_MA-TS_4-5,2057_MA-TS_4-5_Product,-4569.35477309,-4569.3473595,-4569.35654594,-4568.918077,-4568.906035,-4568.915337,4.65,5.76,-1.11,7.56,5.84,1.72
2059_MA-TS_5-6_Reactant,2059_MA-TS_5-6,2059_MA-TS_5-6_Product,-4626.88909241,-4626.88109965,-4626.88582136,-4626.399651,-4626.385948,-4626.389989,5.02,2.96,2.05,8.6,2.54,6.06
2061_MA-TS_7-8_Reactant,2061_MA-TS_7-8,2061_MA-TS_7-8_Product,-4742.49130832,-4742.47566533,-4742.47745281,-4741.949542,-4741.929683,-4741.931655,9.82,1.12,8.69,12.46,1.24,11.22
2065_MA-TS_8-9_Reactant,2065_MA-TS_8-9,2065_MA-TS_8-9_Product,-4744.64889983,-4744.63352109,-4744.65150336,-4744.082328,-4744.065395,-4744.08479,9.65,11.28,-1.63,10.63,12.17,-1.54
2066_MA-TS_5-6_Reactant,2066_MA-TS_5-6,2066_MA-TS_5-6_Product,-4666.10477034,-4666.08583588,-4666.10209185,-4665.592331,-4665.573579,-4665.588612,11.88,10.2,1.68,11.77,9.43,2.33
2068_MA-TS_4-5_Reactant,2068_MA-TS_4-5,2068_MA-TS_4-5_Product,-4587.57727794,-4587.54440416,-4587.56745877,-4587.117007,-4587.084477,-4587.103938,20.63,14.47,6.16,20.41,12.21,8.2
2071_MA-TS_23-24_Reactant,2071_MA-TS_23-24,2071_MA-TS_23-24_Product,-4705.42983305,-4705.41385842,-4705.43058515,-4704.883411,-4704.866941,-4704.878576,10.02,10.5,-0.47,10.34,7.3,3.03
2072_MA-TS_23-24_Reactant,2072_MA-TS_23-24,2072_MA-TS_23-24_Product,-4741.28001823,-4741.27209183,-4741.27246305,-4740.758836,-4740.747866,-4740.749322,4.97,0.23,4.74,6.88,0.91,5.97
2113_MA-TS_5-6_Reactant,2113_MA-TS_5-6,2113_MA-TS_5-6_Product,-4833.46747166,-4833.46590234,-4833.48042039,-4832.946258,-4832.943111,-4832.955424,0.98,9.11,-8.13,1.97,7.73,-5.75
2116_MA-TS_5-6_Reactant,2116_MA-TS_5-6,2116_MA-TS_5-6_Product,-2417.04410635,-2417.02232851,-2417.02507152,-2416.674971,-2416.652467,-2416.654224,13.67,1.72,11.94,14.12,1.1,13.02
2117_MA-TS_5-6_Reactant,2117_MA-TS_5-6,2117_MA-TS_5-6_Product,-1881.67893009,-1881.67674557,-1881.68183642,-1881.253263,-1881.247164,-1881.254079,1.37,3.19,-1.82,3.83,4.34,-0.51
2121_MA-TS_5-6_Reactant,2121_MA-TS_5-6,2121_MA-TS_5-6_Product,-2935.53220165,-2935.51513357,-2935.52892752,-2934.948802,-2934.930651,-2934.939509,10.71,8.66,2.05,11.39,5.56,5.83
2122_MA-TS_5-6_Reactant,2122_MA-TS_5-6,2122_MA-TS_5-6_Product,-4781.78115422,-4781.77855924,-4781.79135987,-4781.212995,-4781.207372,-4781.219532,1.63,8.03,-6.4,3.53,7.63,-4.1
2126_MA-TS_5-6_Reactant,2126_MA-TS_5-6,2126_MA-TS_5-6_Product,-4588.82221744,-4588.8135777,-4588.82397718,-4588.338757,-4588.329309,-4588.339461,5.42,6.53,-1.1,5.93,6.37,-0.44
2127_MA-TS_5-6_Reactant,2127_MA-TS_5-6,2127_MA-TS_5-6_Product,-2915.71850768,-2915.70584745,-2915.71979024,-2915.113066,-2915.0986,-2915.108663,7.94,8.75,-0.8,9.08,6.31,2.76
2129_MA-TS_5-6_Reactant,2129_MA-TS_5-6,2129_MA-TS_5-6_Product,-4514.83767303,-4514.83617259,-4514.84202546,-4514.459967,-4514.454947,-4514.460105,0.94,3.67,-2.73,3.15,3.24,-0.09
2132_MA-TS_5-6_Reactant,2132_MA-TS_5-6,2132_MA-TS_5-6_Product,-2380.37699563,-2380.34841815,-2380.38166065,-2379.720162,-2379.694797,-2379.719172,17.93,20.86,-2.93,15.92,15.3,0.62
2134_MA-TS_5-6_Reactant,2134_MA-TS_5-6,2134_MA-TS_5-6_Product,-4431.73679097,-4431.72168904,-4431.73665722,-4431.359998,-4431.341862,-4431.356612,9.48,9.39,0.08,11.38,9.26,2.12
2137_MA-TS_5-6_Reactant,2137_MA-TS_5-6,2137_MA-TS_5-6_Product,-4493.05702842,-4493.04164238,-4493.05341031,-4492.636017,-4492.617814,-4492.628612,9.65,7.38,2.27,11.42,6.78,4.65
2138_MA-TS_5-6_Reactant,2138_MA-TS_5-6,2138_MA-TS_5-6_Product,-4530.88227619,-4530.86678313,-4530.88281867,-4530.516995,-4530.497503,-4530.510917,9.72,10.06,-0.34,12.23,8.42,3.81
2140_MA-TS_5-6_Reactant,2140_MA-TS_5-6,2140_MA-TS_5-6_Product,-4415.69543006,-4415.68279353,-4415.68963846,-4415.313369,-4415.295552,-4415.302266,7.93,4.3,3.63,11.18,4.21,6.97
2141_MA-TS_5-6_Reactant,2141_MA-TS_5-6,2141_MA-TS_5-6_Product,-2179.11461427,-2179.10844428,-2179.11892264,-2178.713274,-2178.705023,-2178.713498,3.87,6.58,-2.7,5.18,5.32,-0.14
2142_MA-TS_5-6_Reactant,2142_MA-TS_5-6,2142_MA-TS_5-6_Product,-2187.62709633,-2187.62459767,-2187.62886377,-2187.118182,-2187.113173,-2187.117134,1.57,2.68,-1.11,3.14,2.49,0.66
2144_MA-TS_5-6_Reactant,2144_MA-TS_5-6,2144_MA-TS_5-6_Product,-1881.67231826,-1881.66000906,-1881.66878376,-1881.250501,-1881.234391,-1881.243163,7.72,5.51,2.22,10.11,5.5,4.6
2146_MA-TS_5-6_Reactant,2146_MA-TS_5-6,2146_MA-TS_5-6_Product,-2301.86991416,-2301.85138943,-2301.86953254,-2301.486251,-2301.462201,-2301.480486,11.62,11.38,0.24,15.09,11.47,3.62
2154_MA-TS_5-6_Reactant,2154_MA-TS_5-6,2154_MA-TS_5-6_Product,-2623.64498664,-2623.58937012,-2623.60418584,-2622.994246,-2622.939678,-2622.954498,34.9,9.3,25.6,34.24,9.3,24.94
2227_MA-TS_5-6_Reactant,2227_MA-TS_5-6,2227_MA-TS_5-6_Product,-2632.00337875,-2632.00031376,-2632.00441029,-2631.53075,-2631.525136,-2631.52955,1.92,2.57,-0.65,3.52,2.77,0.75
2229_MA-TS_5-6_Reactant,2229_MA-TS_5-6,2229_MA-TS_5-6_Product,-2902.06282142,-2902.03716308,-2902.0450137,-2901.493128,-2901.464923,-2901.471752,16.1,4.93,11.17,17.7,4.29,13.41
2230_MA-TS_5-6_Reactant,2230_MA-TS_5-6,2230_MA-TS_5-6_Product,-3322.23468728,-3322.2161715,-3322.23249547,-3321.703538,-3321.682476,-3321.698478,11.62,10.24,1.38,13.22,10.04,3.18
2233_MA-TS_5-6_Reactant,2233_MA-TS_5-6,2233_MA-TS_5-6_Product,-2980.60109467,-2980.58331892,-2980.59086509,-2979.978254,-2979.959949,-2979.966005,11.15,4.74,6.42,11.49,3.8,7.69
2238_MA-TS_5-6_Reactant,2238_MA-TS_5-6,2238_MA-TS_5-6_Product,-2980.66910817,-2980.64384849,-2980.65610164,-2980.047695,-2980.020286,-2980.030227,15.85,7.69,8.16,17.2,6.24,10.96
2240_MA-TS_5-6_Reactant,2240_MA-TS_5-6,2240_MA-TS_5-6_Product,-3380.27148655,-3380.2630709,-3380.27024296,-3379.618623,-3379.610218,-3379.614052,5.28,4.5,0.78,5.27,2.41,2.87
2242_MA-TS_5-6_Reactant,2242_MA-TS_5-6,2242_MA-TS_5-6_Product,-3095.10480076,-3095.08271022,-3095.08599457,-3094.44955,-3094.425569,-3094.427302,13.86,2.06,11.8,15.05,1.09,13.96
2244_MA-TS_5-6_Reactant,2244_MA-TS_5-6,2244_MA-TS_5-6_Product,-3111.12126363,-3111.11152401,-3111.11209334,-3110.477965,-3110.461638,-3110.463114,6.11,0.36,5.75,10.25,0.93,9.32
2245_MA-TS_5-6_Reactant,2245_MA-TS_5-6,2245_MA-TS_5-6_Product,-3035.97663758,-3035.96966344,-3035.96983362,-3035.330116,-3035.321632,-3035.321651,4.38,0.11,4.27,5.32,0.01,5.31
2246_MA-TS_5-6_Reactant,2246_MA-TS_5-6,2246_MA-TS_5-6_Product,-3396.27681372,-3396.27557138,-3396.28297018,-3395.642401,-3395.637866,-3395.645313,0.78,4.64,-3.86,2.85,4.67,-1.83
2247_MA-TS_5-6_Reactant,2247_MA-TS_5-6,2247_MA-TS_5-6_Product,-3011.99898286,-3011.9925252,-3012.00078266,-3011.33603,-3011.325185,-3011.332354,4.05,5.18,-1.13,6.81,4.5,2.31
2257_MA-TS_5-6_Reactant,2257_MA-TS_5-6,2257_MA-TS_5-6_Product,-3152.77993283,-3152.76986271,-3152.78149148,-3152.06565,-3152.05352,-3152.063979,6.32,7.3,-0.98,7.61,6.56,1.05
2263_MA-TS_5-6_Reactant,2263_MA-TS_5-6,2263_MA-TS_5-6_Product,-2790.09429263,-2790.08544657,-2790.09400534,-2789.414308,-2789.401686,-2789.408984,5.55,5.37,0.18,7.92,4.58,3.34
2264_MA-TS_5-6_Reactant,2264_MA-TS_5-6,2264_MA-TS_5-6_Product,-2806.09002888,-2806.07610263,-2806.09520525,-2805.429203,-2805.41349,-2805.431368,8.74,11.99,-3.25,9.86,11.22,-1.36
2265_MA-TS_5-6_Reactant,2265_MA-TS_5-6,2265_MA-TS_5-6_Product,-2806.0948152,-2806.08294247,-2806.09493895,-2805.434003,-2805.418599,-2805.428252,7.45,7.53,-0.08,9.67,6.06,3.61
2315_MA-TS_5-6_Reactant,2315_MA-TS_5-6,2315_MA-TS_5-6_Product,-1999.50597562,-1999.49246878,-1999.50465144,-1999.003762,-1998.985578,-1998.995021,8.48,7.64,0.83,11.41,5.93,5.49
2316_MA-TS_5-6_Reactant,2316_MA-TS_5-6,2316_MA-TS_5-6_Product,-4415.71683479,-4415.7108115,-4415.72145252,-4415.327054,-4415.318929,-4415.328664,3.78,6.68,-2.9,5.1,6.11,-1.01
2320_MA-TS_5-6_Reactant,2320_MA-TS_5-6,2320_MA-TS_5-6_Product,-2035.15597447,-2035.14139484,-2035.14851763,-2034.689367,-2034.668834,-2034.675115,9.15,4.47,4.68,12.88,3.94,8.94
2409_MA-TS_29-30_Reactant,2409_MA-TS_29-30,2409_MA-TS_29-30_Product,-2489.73348306,-2489.71446536,-2489.73439672,-2489.230612,-2489.209479,-2489.225524,11.93,12.51,-0.57,13.26,10.07,3.19
2410_MA-TS_29-30_Reactant,2410_MA-TS_29-30,2410_MA-TS_29-30_Product,-2525.5707056,-2525.54990613,-2525.55125821,-2525.089298,-2525.063491,-2525.064847,13.05,0.85,12.2,16.19,0.85,15.34
2413_MA-TS_30-31_Reactant,2413_MA-TS_30-31,2413_MA-TS_30-31_Product,-2564.86183306,-2564.85015959,-2564.85096615,-2564.350307,-2564.33596,-2564.337264,7.33,0.51,6.82,9.0,0.82,8.18
2415_MA-TS_29-30_Reactant,2415_MA-TS_29-30,2415_MA-TS_29-30_Product,-2205.05544163,-2205.04384618,-2205.04392976,-2204.526601,-2204.509438,-2204.509694,7.28,0.05,7.22,10.77,0.16,10.61
2416_MA-TS_31-32_Reactant,2416_MA-TS_31-32,2416_MA-TS_31-32_Product,-3024.30977279,-3024.29637603,-3024.30912905,-3023.812142,-3023.794335,-3023.804907,8.41,8.0,0.4,11.17,6.63,4.54
2417_MA-TS_32-33_Reactant,2417_MA-TS_32-33,2417_MA-TS_32-33_Product,-2643.41183177,-2643.4005061,-2643.40306393,-2642.850749,-2642.836984,-2642.839882,7.11,1.61,5.5,8.64,1.82,6.82
2420_MA-TS_31-32_Reactant,2420_MA-TS_31-32,2420_MA-TS_31-32_Product,-2602.88592764,-2602.86718907,-2602.8793025,-2602.375418,-2602.353213,-2602.363349,11.76,7.6,4.16,13.93,6.36,7.57
2421_MA-TS_23-24_Reactant,2421_MA-TS_23-24,2421_MA-TS_23-24_Product,-2777.26666227,-2777.23310386,-2777.24173154,-2776.632218,-2776.601187,-2776.611005,21.06,5.41,15.64,19.47,6.16,13.31
2422_MA-TS_6-7_Reactant,2422_MA-TS_6-7,2422_MA-TS_6-7_Product,-2777.24635628,-2777.22815695,-2777.22947691,-2776.61247,-2776.59662,-2776.599737,11.42,0.83,10.59,9.95,1.96,7.99
2426_MA-TS_29-30_Reactant,2426_MA-TS_29-30,2426_MA-TS_29-30_Product,-2526.80289335,-2526.78862605,-2526.79009639,-2526.301368,-2526.283814,-2526.283479,8.95,0.92,8.03,11.02,-0.21,11.23
2427_MA-TS_32-33_Reactant,2427_MA-TS_32-33,2427_MA-TS_32-33_Product,-2643.41599714,-2643.40532174,-2643.40823105,-2642.850673,-2642.836365,-2642.839524,6.7,1.83,4.87,8.98,1.98,7.0
2429_MA-TS_32-33_Reactant,2429_MA-TS_32-33,2429_MA-TS_32-33_Product,-2604.15010967,-2604.1194572,-2604.13840033,-2603.609986,-2603.580691,-2603.594405,19.23,11.89,7.35,18.38,8.61,9.78
2446_MA-TS_5-6_Reactant,2446_MA-TS_5-6,2446_MA-TS_5-6_Product,-1426.66399946,-1426.65040493,-1426.65131839,-1426.40845,-1426.391316,-1426.392925,8.53,0.57,7.96,10.75,1.01,9.74
2448_MA-TS_5-6_Reactant,2448_MA-TS_5-6,2448_MA-TS_5-6_Product,-1522.03225984,-1522.02964391,-1522.04336731,-1521.728081,-1521.724343,-1521.736532,1.64,8.61,-6.97,2.35,7.65,-5.3
2454_MA-TS_7-8_Reactant,2454_MA-TS_7-8,2454_MA-TS_7-8_Product,-7297.88580959,-7297.874696,-7297.884037,-7297.509558,-7297.499346,-7297.505624,6.97,5.86,1.11,6.41,3.94,2.47
2458_MA-TS_6-7_Reactant,2458_MA-TS_6-7,2458_MA-TS_6-7_Product,-2115.77803961,-2115.76524904,-2115.77304966,-2115.252434,-2115.237425,-2115.245904,8.03,4.89,3.13,9.42,5.32,4.1
2460_MA-TS_20-21_Reactant,2460_MA-TS_20-21,2460_MA-TS_20-21_Product,-2230.00447229,-2229.99445748,-2230.01380778,-2229.460444,-2229.448992,-2229.462787,6.28,12.14,-5.86,7.19,8.66,-1.47
2462_MA-TS_14-15_Reactant,2462_MA-TS_14-15,2462_MA-TS_14-15_Product,-2881.46344863,-2881.45278084,-2881.45987691,-2880.874095,-2880.862309,-2880.868545,6.69,4.45,2.24,7.4,3.91,3.48
2463_MA-TS_14-15_Reactant,2463_MA-TS_14-15,2463_MA-TS_14-15_Product,-2881.46428237,-2881.43837618,-2881.44209249,-2880.878284,-2880.852134,-2880.854848,16.26,2.33,13.92,16.41,1.7,14.71
