Reactant,Datapoint,Product,eR,eTS,eP,GR,GTS,GP,deTSR,deTSP,dePR,dGTSR,dGTSP,dGPR
1407_MA-TS_31-32_Reactant,1407_MA-TS_31-32,1407_MA-TS_31-32_Product,-3034.87357201,-3034.86001165,-3034.86765034,-3034.233599,-3034.217899,-3034.225217,8.51,4.79,3.72,9.85,4.59,5.26
1408_MA-TS_13-14_Reactant,1408_MA-TS_13-14,1408_MA-TS_13-14_Product,-2996.78762207,-2996.76416115,-2996.78631888,-2996.160504,-2996.135766,-2996.153402,14.72,13.9,0.82,15.52,11.07,4.46
1411_MA-TS_10-11_Reactant,1411_MA-TS_10-11,1411_MA-TS_10-11_Product,-2726.56427403,-2726.54195471,-2726.5594517,-2726.05394,-2726.027898,-2726.040596,14.01,10.98,3.03,16.34,7.97,8.37
1412_MA-TS_31-32_Reactant,1412_MA-TS_31-32,1412_MA-TS_31-32_Product,-2918.30635633,-2918.29246975,-2918.29307381,-2917.73517,-2917.718541,-2917.71973,8.71,0.38,8.33,10.43,0.75,9.69
1418_MA-TS_22-23_Reactant,1418_MA-TS_22-23,1418_MA-TS_22-23_Product,-2322.61391015,-2322.59832041,-2322.59966122,-2322.018291,-2321.996036,-2321.998709,9.78,0.84,8.94,13.97,1.68,12.29
1420_MA-TS_22-23_Reactant,1420_MA-TS_22-23,1420_MA-TS_22-23_Product,-2283.29985663,-2283.27935712,-2283.28137694,-2282.73491,-2282.71238,-2282.71367,12.86,1.27,11.6,14.14,0.81,13.33
1421_MA-TS_23-24_Reactant,1421_MA-TS_23-24,1421_MA-TS_23-24_Product,-2322.56206122,-2322.54300437,-2322.55285581,-2321.970213,-2321.951741,-2321.961014,11.96,6.18,5.78,11.59,5.82,5.77
1423_MA-TS_22-23_Reactant,1423_MA-TS_22-23,1423_MA-TS_22-23_Product,-2243.99202933,-2243.98363155,-2243.99761749,-2243.461467,-2243.448394,-2243.460494,5.27,8.78,-3.51,8.2,7.59,0.61
1435_MA-TS_42-43_Reactant,1435_MA-TS_42-43,1435_MA-TS_42-43_Product,-3193.82897721,-3193.8101087,-3193.8140118,-3193.138232,-3193.114103,-3193.119082,11.84,2.45,9.39,15.14,3.12,12.02
1436_MA-TS_42-43_Reactant,1436_MA-TS_42-43,1436_MA-TS_42-43_Product,-3154.59087088,-3154.55812441,-3154.55999096,-3153.924444,-3153.892316,-3153.893845,20.55,1.17,19.38,20.16,0.96,19.2
1441_MA-TS_44-45_Reactant,1441_MA-TS_44-45,1441_MA-TS_44-45_Product,-3287.22293802,-3287.18796822,-3287.18854215,-3286.508132,-3286.473702,-3286.47583,21.94,0.36,21.58,21.61,1.34,20.27
1442_MA-TS_42-43_Reactant,1442_MA-TS_42-43,1442_MA-TS_42-43_Product,-3154.5802416,-3154.57550875,-3154.58130693,-3153.915816,-3153.909734,-3153.914531,2.97,3.64,-0.67,3.82,3.01,0.81
1443_MA-TS_39-40_Reactant,1443_MA-TS_39-40,1443_MA-TS_39-40_Product,-2986.01984454,-2986.0146728,-2986.02528838,-2985.383295,-2985.376574,-2985.3874,3.25,6.66,-3.42,4.22,6.79,-2.58
1449_MA-TS_38-39_Reactant,1449_MA-TS_38-39,1449_MA-TS_38-39_Product,-2551.0632401,-2551.02533188,-2551.02787062,-2550.353806,-2550.318267,-2550.318968,23.79,1.59,22.19,22.3,0.44,21.86
1451_MA-TS_36-37_Reactant,1451_MA-TS_36-37,1451_MA-TS_36-37_Product,-2472.52234603,-2472.51143953,-2472.52244042,-2471.867643,-2471.853752,-2471.864794,6.84,6.9,-0.06,8.72,6.93,1.79
1452_MA-TS_42-43_Reactant,1452_MA-TS_42-43,1452_MA-TS_42-43_Product,-2682.54800554,-2682.53537971,-2682.53835072,-2681.804019,-2681.79045,-2681.7928,7.92,1.86,6.06,8.51,1.47,7.04
1454_MA-TS_42-43_Reactant,1454_MA-TS_42-43,1454_MA-TS_42-43_Product,-3102.73792134,-3102.7248904,-3102.72490885,-3102.030124,-3102.016939,-3102.017801,8.18,0.01,8.17,8.27,0.54,7.73
1455_MA-TS_42-43_Reactant,1455_MA-TS_42-43,1455_MA-TS_42-43_Product,-2742.41418194,-2742.38097466,-2742.38181775,-2741.702982,-2741.670131,-2741.672187,20.84,0.53,20.31,20.61,1.29,19.32
1457_MA-TS_41-42_Reactant,1457_MA-TS_41-42,1457_MA-TS_41-42_Product,-2627.27385419,-2627.22506113,-2627.23197405,-2626.543914,-2626.495553,-2626.502857,30.62,4.34,26.28,30.35,4.58,25.76
1460_MA-TS_41-42_Reactant,1460_MA-TS_41-42,1460_MA-TS_41-42_Product,-2643.26896333,-2643.23623805,-2643.24667449,-2642.553517,-2642.518056,-2642.527971,20.54,6.55,13.99,22.25,6.22,16.03
1461_MA-TS_34-35_Reactant,1461_MA-TS_34-35,1461_MA-TS_34-35_Product,-2337.53764356,-2337.51572898,-2337.52044849,-2336.964122,-2336.94522,-2336.949125,13.75,2.96,10.79,11.86,2.45,9.41
1465_MA-TS_40-41_Reactant,1465_MA-TS_40-41,1465_MA-TS_40-41_Product,-2644.69447982,-2644.66389106,-2644.67684547,-2643.944814,-2643.91207,-2643.922702,19.19,8.13,11.07,20.55,6.67,13.88
1466_MA-TS_38-39_Reactant,1466_MA-TS_38-39,1466_MA-TS_38-39_Product,-2566.13008238,-2566.1110728,-2566.1144686,-2565.436775,-2565.413966,-2565.415634,11.93,2.13,9.8,14.31,1.05,13.27
1467_MA-TS_41-42_Reactant,1467_MA-TS_41-42,1467_MA-TS_41-42_Product,-2719.62916079,-2719.61131236,-2719.6145854,-2718.891662,-2718.869594,-2718.871306,11.2,2.05,9.15,13.85,1.07,12.77
1468_MA-TS_44-45_Reactant,1468_MA-TS_44-45,1468_MA-TS_44-45_Product,-2796.94973812,-2796.90922617,-2796.9106128,-2796.178918,-2796.141862,-2796.142176,25.42,0.87,24.55,23.25,0.2,23.06
1469_MA-TS_44-45_Reactant,1469_MA-TS_44-45,1469_MA-TS_44-45_Product,-2796.95420067,-2796.92766994,-2796.93072959,-2796.180514,-2796.150641,-2796.155564,16.65,1.92,14.73,18.75,3.09,15.66
1474_MA-TS_30-31_Reactant,1474_MA-TS_30-31,1474_MA-TS_30-31_Product,-2639.87828029,-2639.87045541,-2639.87852412,-2639.43419,-2639.424968,-2639.430414,4.91,5.06,-0.15,5.79,3.42,2.37
1475_MA-TS_30-31_Reactant,1475_MA-TS_30-31,1475_MA-TS_30-31_Product,-2639.87441421,-2639.84795266,-2639.8716281,-2639.428292,-2639.403766,-2639.425877,16.6,14.86,1.75,15.39,13.87,1.52
1477_MA-TS_35-36_Reactant,1477_MA-TS_35-36,1477_MA-TS_35-36_Product,-2466.72070298,-2466.70740481,-2466.71684437,-2466.156383,-2466.140016,-2466.149544,8.34,5.92,2.42,10.27,5.98,4.29
1478_MA-TS_36-37_Reactant,1478_MA-TS_36-37,1478_MA-TS_36-37_Product,-2486.14669934,-2486.14152169,-2486.15016038,-2485.540694,-2485.532943,-2485.541652,3.25,5.42,-2.17,4.86,5.46,-0.6
1482_MA-TS_34-35_Reactant,1482_MA-TS_34-35,1482_MA-TS_34-35_Product,-2392.78446194,-2392.78091754,-2392.7916796,-2392.207661,-2392.202399,-2392.212056,2.22,6.75,-4.53,3.3,6.06,-2.76
1485_MA-TS_38-39_Reactant,1485_MA-TS_38-39,1485_MA-TS_38-39_Product,-2600.57150605,-2600.55808093,-2600.56857269,-2599.932515,-2599.915733,-2599.924062,8.42,6.58,1.84,10.53,5.23,5.3
1486_MA-TS_38-39_Reactant,1486_MA-TS_38-39,1486_MA-TS_38-39_Product,-2600.56374718,-2600.54505931,-2600.54749006,-2599.924005,-2599.905408,-2599.908502,11.73,1.53,10.2,11.67,1.94,9.73
1488_MA-TS_32-33_Reactant,1488_MA-TS_32-33,1488_MA-TS_32-33_Product,-2334.09319882,-2334.0776667,-2334.0806623,-2333.585779,-2333.567119,-2333.57053,9.75,1.88,7.87,11.71,2.14,9.57
1489_MA-TS_31-32_Reactant,1489_MA-TS_31-32,1489_MA-TS_31-32_Product,-2294.80903778,-2294.80510897,-2294.81333539,-2294.323463,-2294.318078,-2294.327042,2.47,5.16,-2.7,3.38,5.62,-2.25
1490_MA-TS_31-32_Reactant,1490_MA-TS_31-32,1490_MA-TS_31-32_Product,-2294.79743351,-2294.78898324,-2294.80073997,-2294.316398,-2294.30592,-2294.317201,5.3,7.38,-2.07,6.58,7.08,-0.5
1491_MA-TS_31-32_Reactant,1491_MA-TS_31-32,1491_MA-TS_31-32_Product,-2294.8099069,-2294.80334941,-2294.80544405,-2294.322819,-2294.312535,-2294.314756,4.11,1.31,2.8,6.45,1.39,5.06
1495_MA-TS_4-5_Reactant,1495_MA-TS_4-5,1495_MA-TS_4-5_Product,-2353.52332058,-2353.49181266,-2353.50746732,-2352.968725,-2352.94028,-2352.953445,19.77,9.82,9.95,17.85,8.26,9.59
1496_MA-TS_29-30_Reactant,1496_MA-TS_29-30,1496_MA-TS_29-30_Product,-2180.4086678,-2180.38769664,-2180.38776076,-2179.953949,-2179.931093,-2179.931916,13.16,0.04,13.12,14.34,0.52,13.83
1505_MA-TS_30-31_Reactant,1505_MA-TS_30-31,1505_MA-TS_30-31_Product,-2624.95070787,-2624.92257331,-2624.92501327,-2624.485778,-2624.450021,-2624.452876,17.65,1.53,16.12,22.44,1.79,20.65
1507_MA-TS_33-34_Reactant,1507_MA-TS_33-34,1507_MA-TS_33-34_Product,-2740.41972273,-2740.4194026,-2740.42911101,-2739.902702,-2739.900825,-2739.909091,0.2,6.09,-5.89,1.18,5.19,-4.01
1513_MA-TS_34-35_Reactant,1513_MA-TS_34-35,1513_MA-TS_34-35_Product,-2848.8223993,-2848.81906916,-2848.82213916,-2848.307394,-2848.302821,-2848.30589,2.09,1.93,0.16,2.87,1.93,0.94
1519_MA-TS_35-36_Reactant,1519_MA-TS_35-36,1519_MA-TS_35-36_Product,-2931.95690968,-2931.91914347,-2931.93556843,-2931.444261,-2931.405854,-2931.422514,23.7,10.31,13.39,24.1,10.45,13.65
1541_MA-TS_33-34_Reactant,1541_MA-TS_33-34,1541_MA-TS_33-34_Product,-2809.59168875,-2809.56458242,-2809.56951447,-2809.101208,-2809.072309,-2809.074034,17.01,3.09,13.91,18.13,1.08,17.05
1543_MA-TS_34-35_Reactant,1543_MA-TS_34-35,1543_MA-TS_34-35_Product,-2848.83666671,-2848.81110191,-2848.81678306,-2848.325611,-2848.298216,-2848.303515,16.04,3.56,12.48,17.19,3.33,13.87
1549_MA-TS_28-29_Reactant,1549_MA-TS_28-29,1549_MA-TS_28-29_Product,-3046.18280539,-3046.16350901,-3046.16486057,-3045.785414,-3045.758212,-3045.760152,12.11,0.85,11.26,17.07,1.22,15.85
1552_MA-TS_30-31_Reactant,1552_MA-TS_30-31,1552_MA-TS_30-31_Product,-2220.89287831,-2220.88264191,-2220.8856702,-2220.392422,-2220.379994,-2220.384393,6.42,1.9,4.52,7.8,2.76,5.04
1553_MA-TS_25-26_Reactant,1553_MA-TS_25-26,1553_MA-TS_25-26_Product,-2029.37695096,-2029.35707843,-2029.36399883,-2028.923263,-2028.899737,-2028.904757,12.47,4.34,8.13,14.76,3.15,11.61
