Reactant,Datapoint,Product,deTSR_refDZ,deTSP_refDZ,dePR_refDZ,dGTSR_refDZ,dGTSP_refDZ,dGPR_refDZ,deTSR_PM7,deTSP_PM7,dePR_PM7,dGTSR_PM7,dGTSP_PM7,dGPR_PM7
856_MA-TS_30-31_Reactant,856_MA-TS_30-31,856_MA-TS_30-31_Product,6.6,1.25,5.35,8.82,1.47,7.35,0.8,1.14,-0.34,9.4,6.89,2.52
857_MA-TS_33-34_Reactant,857_MA-TS_33-34,857_MA-TS_33-34_Product,22.81,5.24,17.58,24.36,3.84,20.51,13.81,8.87,4.93,12.76,4.39,8.37
859_MA-TS_34-35_Reactant,859_MA-TS_34-35,859_MA-TS_34-35_Product,17.83,2.1,15.72,18.32,2.45,15.87,8.73,2.41,6.32,9.7,3.59,6.11
863_MA-TS_35-36_Reactant,863_MA-TS_35-36,863_MA-TS_35-36_Product,15.69,16.76,-1.07,18.31,15.13,3.19,-0.24,19.66,-19.9,5.31,18.23,-12.91
864_MA-TS_45-46_Reactant,864_MA-TS_45-46,864_MA-TS_45-46_Product,23.95,3.39,20.56,20.39,0.99,19.41,10.0,4.08,5.92,10.32,2.5,7.82
869_MA-TS_38-39_Reactant,869_MA-TS_38-39,869_MA-TS_38-39_Product,15.77,1.66,14.11,17.53,1.47,16.06,0.92,6.35,-5.44,2.35,2.98,-0.63
873_MA-TS_46-47_Reactant,873_MA-TS_46-47,873_MA-TS_46-47_Product,0.56,7.44,-6.88,0.26,5.2,-4.94,-2.9,10.78,-13.69,-2.37,11.22,-13.59
876_MA-TS_31-32_Reactant,876_MA-TS_31-32,876_MA-TS_31-32_Product,11.44,3.32,8.12,11.26,1.32,9.93,4.05,6.31,-2.26,7.44,5.07,2.36
877_MA-TS_31-32_Reactant,877_MA-TS_31-32,877_MA-TS_31-32_Product,7.36,4.73,2.63,7.73,4.29,3.43,-1.41,7.64,-9.05,-0.66,8.64,-9.3
879_MA-TS_28-29_Reactant,879_MA-TS_28-29,879_MA-TS_28-29_Product,13.9,0.96,12.94,13.65,0.76,12.89,-0.4,4.31,-4.72,0.62,1.21,-0.59
881_MA-TS_16-17_Reactant,881_MA-TS_16-17,881_MA-TS_16-17_Product,10.84,0.52,10.32,14.32,-0.2,14.52,1.77,24.11,-22.34,2.91,3.09,-0.18
882_MA-TS_28-29_Reactant,882_MA-TS_28-29,882_MA-TS_28-29_Product,8.3,6.5,1.8,9.97,4.5,5.47,-0.66,12.19,-12.84,-0.87,10.96,-11.83
883_MA-TS_4-5_Reactant,883_MA-TS_4-5,883_MA-TS_4-5_Product,19.01,9.01,10.0,18.49,7.32,11.17,-512.97,-512.6,-0.37,14.34,7.9,6.43
886_MA-TS_28-29_Reactant,886_MA-TS_28-29,886_MA-TS_28-29_Product,14.7,0.18,14.52,16.25,0.96,15.29,71.51,0.39,71.11,10.31,1.69,8.62
887_MA-TS_31-32_Reactant,887_MA-TS_31-32,887_MA-TS_31-32_Product,4.52,5.94,-1.42,7.47,5.09,2.38,-38.17,66.23,-104.39,-2.91,1.19,-4.1
891_MA-TS_31-32_Reactant,891_MA-TS_31-32,891_MA-TS_31-32_Product,6.08,4.85,1.23,9.64,4.79,4.85,-36.35,51.07,-87.42,-4.9,0.13,-5.03
893_MA-TS_27-28_Reactant,893_MA-TS_27-28,893_MA-TS_27-28_Product,10.75,1.53,9.22,12.46,-0.97,13.44,4.73,4.04,0.69,8.14,4.73,3.41
896_MA-TS_31-32_Reactant,896_MA-TS_31-32,896_MA-TS_31-32_Product,15.72,7.78,7.94,18.71,7.52,11.19,52.46,106.95,-54.49,6.85,7.31,-0.46
897_MA-TS_32-33_Reactant,897_MA-TS_32-33,897_MA-TS_32-33_Product,7.34,3.98,3.36,9.56,3.04,6.53,-0.54,8.05,-8.58,0.31,7.4,-7.09
900_MA-TS_30-31_Reactant,900_MA-TS_30-31,900_MA-TS_30-31_Product,8.87,9.68,-0.81,10.17,9.11,1.06,1.96,12.99,-11.03,2.61,10.07,-7.45
904_MA-TS_31-32_Reactant,904_MA-TS_31-32,904_MA-TS_31-32_Product,5.51,4.64,0.87,6.73,3.9,2.84,0.75,7.09,-6.34,2.25,5.65,-3.4
916_MA-TS_39-40_Reactant,916_MA-TS_39-40,916_MA-TS_39-40_Product,4.9,6.86,-1.95,7.87,4.07,3.8,-3.33,9.62,-12.95,-2.73,8.43,-11.16
917_MA-TS_31-32_Reactant,917_MA-TS_31-32,917_MA-TS_31-32_Product,14.93,0.86,14.07,13.17,0.09,13.08,4.86,2.9,1.96,4.55,1.28,3.27
919_MA-TS_36-37_Reactant,919_MA-TS_36-37,919_MA-TS_36-37_Product,0.81,6.34,-5.53,1.66,6.59,-4.93,-2.7,13.03,-15.73,2.93,8.52,-5.59
920_MA-TS_32-33_Reactant,920_MA-TS_32-33,920_MA-TS_32-33_Product,7.33,4.14,3.19,9.57,2.61,6.96,-0.54,8.0,-8.54,-1.03,5.1,-6.13
922_MA-TS_36-37_Reactant,922_MA-TS_36-37,922_MA-TS_36-37_Product,2.94,0.14,2.8,4.59,-0.34,4.93,-3.88,1.34,-5.23,-3.39,2.2,-5.59
924_MA-TS_28-29_Reactant,924_MA-TS_28-29,924_MA-TS_28-29_Product,7.34,4.17,3.17,9.24,3.41,5.83,-0.69,8.11,-8.79,1.1,6.23,-5.13
926_MA-TS_31-32_Reactant,926_MA-TS_31-32,926_MA-TS_31-32_Product,9.42,10.45,-1.03,9.73,9.25,0.48,4.34,16.16,-11.82,3.9,15.0,-11.1
929_MA-TS_30-31_Reactant,929_MA-TS_30-31,929_MA-TS_30-31_Product,12.76,8.83,3.93,14.9,6.91,8.0,2.84,13.58,-10.73,3.56,12.6,-9.05
935_MA-TS_29-30_Reactant,935_MA-TS_29-30,935_MA-TS_29-30_Product,7.11,2.31,4.8,8.22,1.33,6.89,2.94,6.15,-3.21,5.66,5.36,0.3
937_MA-TS_33-34_Reactant,937_MA-TS_33-34,937_MA-TS_33-34_Product,18.98,17.53,1.45,18.03,14.4,3.63,10.9,21.4,-10.5,11.26,20.5,-9.25
938_MA-TS_31-32_Reactant,938_MA-TS_31-32,938_MA-TS_31-32_Product,7.57,6.0,1.57,9.04,5.28,3.76,3.94,11.23,-7.29,6.69,9.81,-3.12
941_MA-TS_28-29_Reactant,941_MA-TS_28-29,941_MA-TS_28-29_Product,7.24,4.03,3.22,8.3,2.47,5.83,-0.56,7.96,-8.52,-0.77,4.86,-5.63
950_MA-TS_38-39_Reactant,950_MA-TS_38-39,950_MA-TS_38-39_Product,2.78,7.14,-4.36,3.16,5.09,-1.93,-3.39,5.89,-9.28,-2.16,7.44,-9.59
957_MA-TS_38-39_Reactant,957_MA-TS_38-39,957_MA-TS_38-39_Product,12.5,0.24,12.26,15.88,1.42,14.45,1.72,2.11,-0.39,5.15,1.67,3.48
961_MA-TS_37-38_Reactant,961_MA-TS_37-38,961_MA-TS_37-38_Product,3.56,1.8,1.76,5.95,0.75,5.21,-3.19,4.48,-7.67,-0.72,5.52,-6.24
963_MA-TS_34-35_Reactant,963_MA-TS_34-35,963_MA-TS_34-35_Product,20.63,10.68,9.95,21.97,9.46,12.51,10.17,17.38,-7.21,11.13,15.14,-4.01
967_MA-TS_45-46_Reactant,967_MA-TS_45-46,967_MA-TS_45-46_Product,1.62,5.24,-3.62,2.14,4.82,-2.68,-3.47,9.54,-13.01,-0.85,7.74,-8.59
969_MA-TS_37-38_Reactant,969_MA-TS_37-38,969_MA-TS_37-38_Product,17.87,0.64,17.23,19.66,0.58,19.09,-3.11,1.35,-4.46,3.32,0.81,2.5
972_MA-TS_41-42_Reactant,972_MA-TS_41-42,972_MA-TS_41-42_Product,0.53,8.87,-8.34,0.92,7.63,-6.7,-1.26,14.61,-15.87,4.36,15.88,-11.53
973_MA-TS_37-38_Reactant,973_MA-TS_37-38,973_MA-TS_37-38_Product,16.4,22.27,-5.87,16.5,19.58,-3.08,8.65,23.77,-15.12,10.48,22.98,-12.5
974_MA-TS_39-40_Reactant,974_MA-TS_39-40,974_MA-TS_39-40_Product,25.56,12.43,13.13,25.25,9.69,15.56,16.91,15.03,1.89,14.25,12.5,1.75
976_MA-TS_36-37_Reactant,976_MA-TS_36-37,976_MA-TS_36-37_Product,5.9,4.82,1.07,8.3,4.39,3.91,-2.59,6.8,-9.38,-6.09,3.83,-9.92
977_MA-TS_41-42_Reactant,977_MA-TS_41-42,977_MA-TS_41-42_Product,5.83,10.41,-4.58,9.13,8.76,0.37,-1.36,11.3,-12.67,1.96,12.65,-10.69
979_MA-TS_43-44_Reactant,979_MA-TS_43-44,979_MA-TS_43-44_Product,4.9,2.33,2.56,6.18,0.98,5.2,-2.33,6.4,-8.74,-10.66,5.66,-16.32
980_MA-TS_46-47_Reactant,980_MA-TS_46-47,980_MA-TS_46-47_Product,13.5,14.96,-1.46,13.57,13.27,0.31,2.09,16.71,-14.62,3.1,16.57,-13.47
982_MA-TS_42-43_Reactant,982_MA-TS_42-43,982_MA-TS_42-43_Product,18.43,0.94,17.49,17.08,0.8,16.28,6.71,3.81,2.9,8.59,3.4,5.19
983_MA-TS_37-38_Reactant,983_MA-TS_37-38,983_MA-TS_37-38_Product,16.6,21.56,-4.95,16.7,15.52,1.17,11.47,24.31,-12.84,14.73,23.62,-8.89
986_MA-TS_34-35_Reactant,986_MA-TS_34-35,986_MA-TS_34-35_Product,11.21,1.71,9.5,10.06,1.18,8.88,0.44,3.1,-2.66,1.0,2.2,-1.2
988_MA-TS_33-34_Reactant,988_MA-TS_33-34,988_MA-TS_33-34_Product,9.61,6.94,2.68,11.8,4.87,6.93,4.06,10.91,-6.86,3.75,7.91,-4.17
990_MA-TS_32-33_Reactant,990_MA-TS_32-33,990_MA-TS_32-33_Product,15.28,18.41,-3.12,15.31,15.68,-0.37,6.79,19.58,-12.79,10.54,20.82,-10.28
992_MA-TS_34-35_Reactant,992_MA-TS_34-35,992_MA-TS_34-35_Product,10.75,7.58,3.18,11.83,6.79,5.05,-2.78,13.07,-15.85,-1.04,11.74,-12.78
993_MA-TS_32-33_Reactant,993_MA-TS_32-33,993_MA-TS_32-33_Product,12.75,0.0,12.74,14.3,0.64,13.67,1.67,0.22,1.45,4.16,0.29,3.87
996_MA-TS_37-38_Reactant,996_MA-TS_37-38,996_MA-TS_37-38_Product,5.39,0.2,5.19,6.23,0.59,5.64,-3.15,3.49,-6.64,-3.59,1.72,-5.31
997_MA-TS_33-34_Reactant,997_MA-TS_33-34,997_MA-TS_33-34_Product,2.93,3.21,-0.29,4.1,2.87,1.22,-0.3,9.77,-10.06,1.0,8.44,-7.45
999_MA-TS_33-34_Reactant,999_MA-TS_33-34,999_MA-TS_33-34_Product,9.92,3.3,6.62,10.46,2.11,8.34,1.57,7.18,-5.61,3.31,7.3,-3.98
1000_MA-TS_35-36_Reactant,1000_MA-TS_35-36,1000_MA-TS_35-36_Product,7.9,5.43,2.47,8.35,3.4,4.94,6.66,15.84,-9.18,7.3,13.94,-6.64
1001_MA-TS_38-39_Reactant,1001_MA-TS_38-39,1001_MA-TS_38-39_Product,4.03,0.78,3.25,5.4,0.57,4.83,-2.86,4.88,-7.74,-1.42,0.77,-2.19
1002_MA-TS_32-33_Reactant,1002_MA-TS_32-33,1002_MA-TS_32-33_Product,7.49,8.3,-0.81,8.15,5.65,2.5,3.19,12.06,-8.87,2.29,8.37,-6.08
1013_MA-TS_22-23_Reactant,1013_MA-TS_22-23,1013_MA-TS_22-23_Product,11.5,0.67,10.83,15.18,0.36,14.82,4.51,4.72,-0.21,6.94,6.55,0.39
1015_MA-TS_38-39_Reactant,1015_MA-TS_38-39,1015_MA-TS_38-39_Product,1.27,3.27,-2.0,2.9,3.07,-0.18,-2.32,4.19,-6.52,-1.63,3.23,-4.86
1016_MA-TS_40-41_Reactant,1016_MA-TS_40-41,1016_MA-TS_40-41_Product,12.61,0.16,12.45,16.35,1.32,15.03,4.63,1.88,2.75,5.82,-0.82,6.64
1019_MA-TS_40-41_Reactant,1019_MA-TS_40-41,1019_MA-TS_40-41_Product,8.41,4.83,3.58,10.59,4.88,5.71,-0.0,10.67,-10.67,3.14,8.46,-5.32
1023_MA-TS_33-34_Reactant,1023_MA-TS_33-34,1023_MA-TS_33-34_Product,12.77,0.83,11.93,14.33,1.35,12.99,1.41,2.97,-1.56,5.3,3.21,2.09
1026_MA-TS_3-4_Reactant,1026_MA-TS_3-4,1026_MA-TS_3-4_Product,13.38,0.67,12.71,14.55,0.85,13.71,3.69,3.93,-0.24,4.33,1.1,3.23
1027_MA-TS_32-33_Reactant,1027_MA-TS_32-33,1027_MA-TS_32-33_Product,12.21,4.84,7.36,13.12,4.04,9.08,4.59,8.19,-3.6,4.94,7.98,-3.04
1038_MA-TS_6-7_Reactant,1038_MA-TS_6-7,1038_MA-TS_6-7_Product,4.67,0.05,4.62,5.81,0.82,4.99,-8.1,2.42,-10.52,-7.04,2.61,-9.65
1039_MA-TS_23-24_Reactant,1039_MA-TS_23-24,1039_MA-TS_23-24_Product,9.31,17.3,-7.99,10.65,15.13,-4.48,1.01,24.0,-22.99,3.49,23.05,-19.55
1040_MA-TS_24-25_Reactant,1040_MA-TS_24-25,1040_MA-TS_24-25_Product,8.03,2.66,5.37,5.89,2.39,3.49,1.81,6.81,-5.0,-0.88,4.91,-5.8
1041_MA-TS_17-18_Reactant,1041_MA-TS_17-18,1041_MA-TS_17-18_Product,0.22,6.37,-6.15,1.21,5.64,-4.44,-2.35,14.02,-16.37,-4.08,11.74,-15.82
1046_MA-TS_31-32_Reactant,1046_MA-TS_31-32,1046_MA-TS_31-32_Product,24.19,9.34,14.86,25.21,8.45,16.76,7.25,12.27,-5.01,8.93,10.16,-1.22
1048_MA-TS_52-53_Reactant,1048_MA-TS_52-53,1048_MA-TS_52-53_Product,1.38,5.93,-4.55,1.99,3.21,-1.23,-3.52,11.03,-14.55,-2.44,10.95,-13.38
1050_MA-TS_48-49_Reactant,1050_MA-TS_48-49,1050_MA-TS_48-49_Product,2.22,7.11,-4.89,4.25,5.99,-1.74,-0.76,13.72,-14.48,2.77,12.1,-9.33
1052_MA-TS_45-46_Reactant,1052_MA-TS_45-46,1052_MA-TS_45-46_Product,17.59,21.93,-4.33,17.52,17.98,-0.46,2.01,22.62,-20.61,4.13,19.81,-15.68
1053_MA-TS_50-51_Reactant,1053_MA-TS_50-51,1053_MA-TS_50-51_Product,1.28,12.32,-11.04,1.94,11.38,-9.44,-2.49,16.66,-19.15,-1.57,15.54,-17.12
1054_MA-TS_48-49_Reactant,1054_MA-TS_48-49,1054_MA-TS_48-49_Product,6.2,0.52,5.68,7.49,1.49,6.0,-4.81,3.46,-8.26,0.49,4.03,-3.54
1056_MA-TS_41-42_Reactant,1056_MA-TS_41-42,1056_MA-TS_41-42_Product,7.5,5.83,1.67,11.43,4.64,6.79,1.86,14.46,-12.6,2.88,11.63,-8.75
1057_MA-TS_46-47_Reactant,1057_MA-TS_46-47,1057_MA-TS_46-47_Product,7.29,1.32,5.97,10.01,0.93,9.08,0.76,4.69,-3.93,-1.26,5.01,-6.27
1062_MA-TS_45-46_Reactant,1062_MA-TS_45-46,1062_MA-TS_45-46_Product,6.22,4.25,1.97,9.17,3.3,5.86,-1.9,10.08,-11.98,-0.84,9.11,-9.96
1065_MA-TS_48-49_Reactant,1065_MA-TS_48-49,1065_MA-TS_48-49_Product,13.29,0.11,13.18,17.54,-0.53,18.07,1.98,0.57,1.4,4.14,-0.26,4.4
1066_MA-TS_49-50_Reactant,1066_MA-TS_49-50,1066_MA-TS_49-50_Product,10.71,0.98,9.73,14.63,0.21,14.42,-4.49,4.8,-9.29,-2.02,4.64,-6.66
1068_MA-TS_49-50_Reactant,1068_MA-TS_49-50,1068_MA-TS_49-50_Product,8.69,7.77,0.92,8.94,7.16,1.79,0.42,16.86,-16.44,1.3,12.14,-10.84
1070_MA-TS_49-50_Reactant,1070_MA-TS_49-50,1070_MA-TS_49-50_Product,13.65,5.93,7.72,10.9,3.45,7.45,1.56,16.11,-14.55,1.55,12.41,-10.86
1071_MA-TS_46-47_Reactant,1071_MA-TS_46-47,1071_MA-TS_46-47_Product,9.14,7.88,1.26,11.48,7.96,3.52,-5.91,5.69,-11.6,-3.87,8.34,-12.21
1073_MA-TS_48-49_Reactant,1073_MA-TS_48-49,1073_MA-TS_48-49_Product,15.05,1.16,13.89,16.51,0.88,15.62,4.8,5.09,-0.29,-2.3,4.31,-6.61
1075_MA-TS_49-50_Reactant,1075_MA-TS_49-50,1075_MA-TS_49-50_Product,7.61,0.58,7.02,7.54,0.68,6.86,-3.51,3.17,-6.68,-1.07,4.64,-5.72
1076_MA-TS_39-40_Reactant,1076_MA-TS_39-40,1076_MA-TS_39-40_Product,9.12,0.56,8.56,12.44,1.13,11.31,-0.04,1.83,-1.87,1.1,3.01,-1.91
1077_MA-TS_44-45_Reactant,1077_MA-TS_44-45,1077_MA-TS_44-45_Product,22.09,3.97,18.12,23.39,3.79,19.6,-0.99,8.89,-9.87,0.26,6.14,-5.88
1079_MA-TS_47-48_Reactant,1079_MA-TS_47-48,1079_MA-TS_47-48_Product,1.99,4.58,-2.59,3.63,3.49,0.14,-3.93,9.5,-13.44,0.25,9.66,-9.41
1081_MA-TS_48-49_Reactant,1081_MA-TS_48-49,1081_MA-TS_48-49_Product,5.26,20.5,-15.24,7.75,18.4,-10.65,5.12,27.24,-22.12,7.15,21.14,-13.99
1082_MA-TS_38-39_Reactant,1082_MA-TS_38-39,1082_MA-TS_38-39_Product,23.37,2.32,21.05,21.06,1.78,19.28,10.47,7.0,3.48,9.32,3.44,5.88
1083_MA-TS_46-47_Reactant,1083_MA-TS_46-47,1083_MA-TS_46-47_Product,18.49,4.01,14.48,18.64,3.75,14.89,8.93,15.4,-6.47,12.74,15.91,-3.17
1084_MA-TS_46-47_Reactant,1084_MA-TS_46-47,1084_MA-TS_46-47_Product,11.46,4.9,6.57,13.1,4.81,8.29,-6.27,7.26,-13.53,-2.87,8.73,-11.59
1088_MA-TS_32-33_Reactant,1088_MA-TS_32-33,1088_MA-TS_32-33_Product,8.44,6.5,1.94,9.5,4.93,4.57,0.75,9.49,-8.73,1.24,7.25,-6.01
1089_MA-TS_33-34_Reactant,1089_MA-TS_33-34,1089_MA-TS_33-34_Product,14.78,0.05,14.73,17.11,0.59,16.52,-0.88,1.12,-2.0,1.36,0.4,0.96
1094_MA-TS_32-33_Reactant,1094_MA-TS_32-33,1094_MA-TS_32-33_Product,34.1,1.62,32.48,31.16,1.38,29.78,20.47,6.24,14.23,24.45,6.66,17.79
1095_MA-TS_33-34_Reactant,1095_MA-TS_33-34,1095_MA-TS_33-34_Product,6.28,2.25,4.03,9.65,1.38,8.27,1.45,7.63,-6.19,6.09,7.59,-1.5
1097_MA-TS_29-30_Reactant,1097_MA-TS_29-30,1097_MA-TS_29-30_Product,21.72,1.45,20.27,18.96,1.31,17.65,-535.46,-538.34,2.88,8.93,5.2,3.73
1104_MA-TS_31-32_Reactant,1104_MA-TS_31-32,1104_MA-TS_31-32_Product,9.24,0.08,9.16,11.96,0.22,11.74,-7.02,1.89,-8.91,-4.9,2.91,-7.8
1105_MA-TS_33-34_Reactant,1105_MA-TS_33-34,1105_MA-TS_33-34_Product,10.55,3.63,6.92,9.95,3.57,6.38,3.55,7.78,-4.23,4.79,4.59,0.2
1108_MA-TS_37-38_Reactant,1108_MA-TS_37-38,1108_MA-TS_37-38_Product,20.29,6.75,13.54,17.83,4.52,13.32,8.7,7.59,1.12,10.13,3.54,6.59
1109_MA-TS_34-35_Reactant,1109_MA-TS_34-35,1109_MA-TS_34-35_Product,12.7,5.91,6.78,11.48,3.73,7.75,5.36,7.65,-2.29,9.27,6.9,2.38
1110_MA-TS_34-35_Reactant,1110_MA-TS_34-35,1110_MA-TS_34-35_Product,13.67,7.87,5.8,14.09,6.47,7.62,7.74,13.04,-5.29,10.22,11.49,-1.27
1111_MA-TS_34-35_Reactant,1111_MA-TS_34-35,1111_MA-TS_34-35_Product,9.72,5.81,3.91,10.13,6.18,3.95,1.03,13.27,-12.24,3.56,10.08,-6.52
1112_MA-TS_33-34_Reactant,1112_MA-TS_33-34,1112_MA-TS_33-34_Product,8.2,1.63,6.57,11.22,1.36,9.85,-0.32,5.45,-5.77,3.49,3.49,-0.01
1117_MA-TS_38-39_Reactant,1117_MA-TS_38-39,1117_MA-TS_38-39_Product,5.89,4.54,1.35,9.06,3.53,5.53,0.44,9.9,-9.46,1.3,7.06,-5.76
1119_MA-TS_36-37_Reactant,1119_MA-TS_36-37,1119_MA-TS_36-37_Product,7.53,15.2,-7.67,9.28,10.75,-1.47,0.89,14.28,-13.38,1.51,12.66,-11.15
1121_MA-TS_40-41_Reactant,1121_MA-TS_40-41,1121_MA-TS_40-41_Product,7.05,0.32,6.73,9.48,0.29,9.19,-22.68,17.01,-39.69,1.61,2.82,-1.21
1123_MA-TS_40-41_Reactant,1123_MA-TS_40-41,1123_MA-TS_40-41_Product,12.67,2.01,10.66,15.82,1.14,14.68,6.32,6.38,-0.06,9.37,3.38,5.99
1127_MA-TS_37-38_Reactant,1127_MA-TS_37-38,1127_MA-TS_37-38_Product,10.55,21.84,-11.29,11.66,15.97,-4.31,37.64,180.16,-142.52,5.33,15.72,-10.4
1132_MA-TS_41-42_Reactant,1132_MA-TS_41-42,1132_MA-TS_41-42_Product,6.01,11.25,-5.25,6.87,9.33,-2.46,35.56,180.18,-144.62,3.31,18.96,-15.64
1134_MA-TS_41-42_Reactant,1134_MA-TS_41-42,1134_MA-TS_41-42_Product,17.03,0.42,16.61,16.93,1.29,15.64,5.49,1.96,3.53,9.1,0.96,8.14
1137_MA-TS_31-32_Reactant,1137_MA-TS_31-32,1137_MA-TS_31-32_Product,31.12,2.45,28.67,27.77,2.02,25.75,15.12,4.96,10.16,16.35,4.33,12.02
1138_MA-TS_37-38_Reactant,1138_MA-TS_37-38,1138_MA-TS_37-38_Product,7.83,14.42,-6.58,11.55,12.43,-0.88,0.66,18.48,-17.82,1.45,13.62,-12.18
1141_MA-TS_41-42_Reactant,1141_MA-TS_41-42,1141_MA-TS_41-42_Product,18.25,3.5,14.75,18.83,3.06,15.77,9.16,6.97,2.19,9.24,5.61,3.63
1142_MA-TS_41-42_Reactant,1142_MA-TS_41-42,1142_MA-TS_41-42_Product,9.2,13.52,-4.32,9.35,12.0,-2.65,122.64,-208.02,330.66,2.47,8.04,-5.57
1144_MA-TS_29-30_Reactant,1144_MA-TS_29-30,1144_MA-TS_29-30_Product,21.55,2.18,19.37,21.97,1.01,20.96,6.36,6.28,0.08,10.57,6.57,4.0
1145_MA-TS_38-39_Reactant,1145_MA-TS_38-39,1145_MA-TS_38-39_Product,8.95,5.23,3.72,10.9,4.79,6.12,4.86,8.59,-3.74,5.8,7.09,-1.29
1146_MA-TS_41-42_Reactant,1146_MA-TS_41-42,1146_MA-TS_41-42_Product,9.37,2.16,7.21,10.56,1.86,8.7,-29.89,-510.68,480.79,0.83,6.45,-5.62
1150_MA-TS_45-46_Reactant,1150_MA-TS_45-46,1150_MA-TS_45-46_Product,17.41,3.46,13.94,18.07,3.89,14.17,3.71,9.36,-5.65,9.22,7.44,1.78
1153_MA-TS_45-46_Reactant,1153_MA-TS_45-46,1153_MA-TS_45-46_Product,5.03,2.28,2.75,5.62,1.31,4.31,-1.23,7.16,-8.39,0.9,6.07,-5.17
1159_MA-TS_43-44_Reactant,1159_MA-TS_43-44,1159_MA-TS_43-44_Product,15.14,2.35,12.79,15.94,1.67,14.27,5.19,5.62,-0.43,10.75,6.01,4.74
1160_MA-TS_42-43_Reactant,1160_MA-TS_42-43,1160_MA-TS_42-43_Product,4.64,4.99,-0.35,6.34,4.17,2.18,1.3,11.34,-10.04,4.22,5.58,-1.36
1175_MA-TS_43-44_Reactant,1175_MA-TS_43-44,1175_MA-TS_43-44_Product,6.94,4.1,2.83,8.14,3.24,4.9,-2.97,8.52,-11.49,-0.56,6.94,-7.5
1176_MA-TS_44-45_Reactant,1176_MA-TS_44-45,1176_MA-TS_44-45_Product,18.16,0.0,18.15,19.31,0.33,18.98,2.51,0.33,2.19,3.37,-2.32,5.7
1177_MA-TS_47-48_Reactant,1177_MA-TS_47-48,1177_MA-TS_47-48_Product,12.59,1.03,11.56,15.46,0.09,15.38,5.8,4.05,1.76,7.62,2.85,4.77
1180_MA-TS_42-43_Reactant,1180_MA-TS_42-43,1180_MA-TS_42-43_Product,6.05,1.94,4.11,5.65,1.47,4.17,-0.42,5.76,-6.18,3.09,5.23,-2.14
1182_MA-TS_42-43_Reactant,1182_MA-TS_42-43,1182_MA-TS_42-43_Product,0.3,7.62,-7.32,0.7,6.62,-5.93,-2.48,16.18,-18.66,-0.78,12.9,-13.68
1185_MA-TS_44-45_Reactant,1185_MA-TS_44-45,1185_MA-TS_44-45_Product,8.66,0.96,7.7,11.28,0.39,10.89,-1.82,4.82,-6.64,1.59,3.56,-1.98
1186_MA-TS_24-25_Reactant,1186_MA-TS_24-25,1186_MA-TS_24-25_Product,11.55,1.85,9.7,13.62,1.87,11.75,-0.02,4.94,-4.96,3.86,3.75,0.11
1188_MA-TS_25-26_Reactant,1188_MA-TS_25-26,1188_MA-TS_25-26_Product,17.12,4.92,12.2,18.48,5.33,13.15,5.53,6.1,-0.56,8.83,8.45,0.38
1189_MA-TS_24-25_Reactant,1189_MA-TS_24-25,1189_MA-TS_24-25_Product,6.9,0.47,6.43,7.94,0.67,7.26,-3.49,2.84,-6.33,-0.65,5.23,-5.88
1191_MA-TS_24-25_Reactant,1191_MA-TS_24-25,1191_MA-TS_24-25_Product,0.49,7.5,-7.01,0.92,5.93,-5.01,-1.92,15.95,-17.87,-3.1,14.08,-17.18
1195_MA-TS_24-25_Reactant,1195_MA-TS_24-25,1195_MA-TS_24-25_Product,11.24,3.85,7.39,12.48,4.07,8.41,1.07,4.46,-3.39,5.57,3.52,2.04
1196_MA-TS_21-22_Reactant,1196_MA-TS_21-22,1196_MA-TS_21-22_Product,16.06,14.57,1.48,17.09,12.51,4.58,4.11,18.02,-13.91,6.33,15.73,-9.4
1197_MA-TS_23-24_Reactant,1197_MA-TS_23-24,1197_MA-TS_23-24_Product,13.52,2.15,11.37,14.1,2.54,11.55,0.45,6.06,-5.61,3.12,5.05,-1.94
1200_MA-TS_2-3_Reactant,1200_MA-TS_2-3,1200_MA-TS_2-3_Product,11.46,3.04,8.42,15.32,3.19,12.13,-3.45,6.95,-10.39,-0.71,5.17,-5.89
1202_MA-TS_24-25_Reactant,1202_MA-TS_24-25,1202_MA-TS_24-25_Product,10.26,1.39,8.87,11.41,2.29,9.12,4.38,2.24,2.14,3.96,0.04,3.92
1203_MA-TS_34-35_Reactant,1203_MA-TS_34-35,1203_MA-TS_34-35_Product,27.62,4.71,22.91,26.35,3.69,22.66,7.67,7.64,0.03,7.33,7.64,-0.31
1208_MA-TS_40-41_Reactant,1208_MA-TS_40-41,1208_MA-TS_40-41_Product,5.47,4.32,1.15,7.84,3.45,4.39,0.68,9.27,-8.58,2.73,8.23,-5.5
1209_MA-TS_45-46_Reactant,1209_MA-TS_45-46,1209_MA-TS_45-46_Product,10.05,2.2,7.84,11.55,1.44,10.11,-0.36,5.93,-6.28,2.38,5.5,-3.12
1213_MA-TS_37-38_Reactant,1213_MA-TS_37-38,1213_MA-TS_37-38_Product,12.46,7.54,4.92,14.39,5.28,9.11,7.71,14.95,-7.23,12.8,15.72,-2.92
1214_MA-TS_40-41_Reactant,1214_MA-TS_40-41,1214_MA-TS_40-41_Product,15.86,2.97,12.89,14.95,3.2,11.75,6.09,5.22,0.87,9.05,3.6,5.45
