Reactant,Datapoint,Product,deTSR_refDZ,deTSP_refDZ,dePR_refDZ,dGTSR_refDZ,dGTSP_refDZ,dGPR_refDZ,deTSR_PM7,deTSP_PM7,dePR_PM7,dGTSR_PM7,dGTSP_PM7,dGPR_PM7
262_MA-TS_39-40_Reactant,262_MA-TS_39-40,262_MA-TS_39-40_Product,8.3,13.21,-4.91,9.21,11.31,-2.1,-22.95,-507.45,484.5,-2.3,9.05,-11.35
264_MA-TS_39-40_Reactant,264_MA-TS_39-40,264_MA-TS_39-40_Product,32.97,10.55,22.42,30.08,8.44,21.63,25.66,15.45,10.21,23.89,11.18,12.7
268_MA-TS_25-26_Reactant,268_MA-TS_25-26,268_MA-TS_25-26_Product,22.86,5.23,17.63,23.33,3.73,19.61,11.0,10.52,0.49,9.91,7.3,2.61
269_MA-TS_39-40_Reactant,269_MA-TS_39-40,269_MA-TS_39-40_Product,16.36,1.27,15.09,19.34,1.34,18.0,2.28,4.18,-1.89,3.74,4.28,-0.54
279_MA-TS_14-15_Reactant,279_MA-TS_14-15,279_MA-TS_14-15_Product,7.79,6.26,1.53,9.54,6.47,3.06,4.75,3.87,0.89,6.74,4.18,2.56
281_MA-TS_4-5_Reactant,281_MA-TS_4-5,281_MA-TS_4-5_Product,18.98,6.28,12.7,20.81,5.74,15.07,4.72,8.26,-3.54,7.27,7.82,-0.56
282_MA-TS_10-11_Reactant,282_MA-TS_10-11,282_MA-TS_10-11_Product,21.66,12.6,9.06,24.39,9.76,14.63,10.97,16.73,-5.76,13.99,14.5,-0.51
288_MA-TS_37-38_Reactant,288_MA-TS_37-38,288_MA-TS_37-38_Product,22.33,4.17,18.17,21.95,2.57,19.37,9.46,9.74,-0.29,11.3,10.08,1.22
291_MA-TS_37-38_Reactant,291_MA-TS_37-38,291_MA-TS_37-38_Product,15.05,6.02,9.04,13.39,4.07,9.32,5.9,14.21,-8.31,7.23,13.1,-5.87
292_MA-TS_29-30_Reactant,292_MA-TS_29-30,292_MA-TS_29-30_Product,17.22,5.67,11.55,18.27,4.41,13.87,6.49,11.73,-5.24,9.24,11.19,-1.94
