Reactant,Datapoint,Product,eR,eTS,eP,GR,GTS,GP,deTSR,deTSP,dePR,dGTSR,dGTSP,dGPR,HR,HTS,HP,freqR,freqTS,freqP,irR,irTS,irP,dipoleR,dipoleTS,dipoleP,homoR,homoTS,homoP,lumoR,lumoTS,lumoP,qhirshR,qhirshTS,qhirshP
591_MA-TS_36-37_Reactant,591_MA-TS_36-37,591_MA-TS_36-37_Product,-0.276089577438,-0.274210288561,-0.275016722778,0.312323,0.320927,0.318005,1.18,0.51,0.67,5.4,1.83,3.57,0.420904,0.426616,0.42653,-1037.8953,-187.2394,-188.9449,16.7117,3.3293,2.1847,6.7901,58.7949,6.4831,-0.16462,-0.15029,-0.14581,0.07514,0.07832,0.07856,3.9e-05,4e-05,4e-05
592_MA-TS_39-40_Reactant,592_MA-TS_39-40,592_MA-TS_39-40_Product,-0.287355241555,-0.285336641552,-0.287134494684,0.372583,0.372103,0.370232,1.27,1.13,0.14,-0.3,1.17,-1.48,0.480444,0.479919,0.477391,-178.4624,-439.9062,-736.8363,0.8768,12.382,27.3387,13.0878,93.8477,9.2066,-0.15348,-0.15971,-0.14986,0.06505,0.07439,0.07823,4.1e-05,4.1e-05,4.1e-05
593_MA-TS_30-31_Reactant,593_MA-TS_30-31,593_MA-TS_30-31_Product,-0.344593882859,-0.341814109896,-0.350195582146,0.170514,0.18212,0.172242,1.74,5.26,-3.52,7.28,6.2,1.08,0.275313,0.27924,0.268877,-199.5861,-202.9028,-211.5138,1.4746,108.8397,1.463,9.9158,60.3252,4.0263,-0.15674,-0.16339,-0.15926,0.05741,0.07558,0.0821,3.5e-05,3.7e-05,3.7e-05
594_MA-TS_29-30_Reactant,594_MA-TS_29-30,594_MA-TS_29-30_Product,-0.282488681855,-0.283802310206,-0.300923220799,0.23506,0.23834,0.21922,-0.82,10.74,-11.57,2.06,12.0,-9.94,0.33062,0.329061,0.312595,-199.8498,-221.9114,-664.6961,0.8004,475.1307,33.3135,16.3266,66.8827,17.3527,-0.14859,-0.15602,-0.15386,0.06224,0.04348,0.0527,3.9e-05,4.1e-05,4.1e-05
599_MA-TS_33-34_Reactant,599_MA-TS_33-34,599_MA-TS_33-34_Product,-0.506838050538,-0.504723754604,-0.507766123386,0.015475,0.019721,0.013617,1.33,1.91,-0.58,2.66,3.83,-1.17,0.117509,0.119303,0.10985,-282.1328,-229.3847,-1473.3629,16.6767,432.554,1089.2994,6.0117,52.9872,3.5336,-0.15833,-0.17052,-0.16607,0.05675,0.04968,0.04572,3.4e-05,3.4e-05,3.4e-05
600_MA-TS_23-24_Reactant,600_MA-TS_23-24,600_MA-TS_23-24_Product,-0.245875724512,-0.237597228123,-0.256308718637,0.364665,0.375966,0.356554,5.19,11.74,-6.55,7.09,12.18,-5.09,0.468835,0.478942,0.45936,-1016.5569,-900.8906,-621.502,37.2489,38.9459,43.294,13.3494,92.5938,8.2682,-0.14962,-0.15882,-0.16802,0.03768,0.04809,0.05989,3.7e-05,4e-05,3.8e-05
601_MA-TS_23-24_Reactant,601_MA-TS_23-24,601_MA-TS_23-24_Product,-0.227575247691,-0.202588203867,-0.211250233422,0.418978,0.443889,0.43492,15.68,5.44,10.24,15.63,5.63,10.0,0.524139,0.546977,0.541274,-179.4051,-638.5341,-179.0634,0.3191,33.4131,0.1109,6.5663,99.4625,5.0858,-0.16357,-0.16124,-0.15761,0.04577,0.04054,0.04121,4e-05,4.4e-05,4.4e-05
608_MA-TS_42-43_Reactant,608_MA-TS_42-43,608_MA-TS_42-43_Product,-0.688778815334,-0.691733761007,-0.718251936053,-0.13597,-0.13714,-0.161629,-1.85,16.64,-18.49,-0.73,15.37,-16.1,-0.015357,-0.019486,-0.046461,-700.4981,-357.4738,-219.6935,20.3364,8.1789,1.8174,24.7461,46.19,10.1919,-0.15651,-0.16595,-0.18102,0.02997,0.03762,0.05103,3.6e-05,3.6e-05,3.7e-05
609_MA-TS_39-40_Reactant,609_MA-TS_39-40,609_MA-TS_39-40_Product,-0.708439641683,-0.71215342143,-0.726902667919,-0.129533,-0.128416,-0.139782,-2.33,9.26,-11.59,0.7,7.13,-6.43,-0.01464,-0.015344,-0.028384,-636.0448,-647.3702,-614.4146,18.3239,21.1823,111.3281,18.4024,76.2985,6.2057,-0.15857,-0.17382,-0.17791,0.03623,0.04341,0.05627,3.6e-05,3.6e-05,3.6e-05
610_MA-TS_16-17_Reactant,610_MA-TS_16-17,610_MA-TS_16-17_Product,-0.655441670947,-0.661461529085,-0.672122258498,-0.194466,-0.200819,-0.206773,-3.78,6.69,-10.47,-3.99,3.74,-7.72,-0.096683,-0.101193,-0.111428,-143.7149,-306.2382,-284.9751,0.154,146.1235,136.3252,20.3777,49.003,7.5333,-0.16135,-0.17093,-0.16313,0.04287,0.05941,0.07036,-88.190813,-88.487774,-88.860247
